file;id;region;pop;sex;lat;long;temperature
L-01.fq.gz;L-01;NWA;L;F;47.38165;-53.46462;5.520396233
L-02.fq.gz;L-02;NWA;L;F;47.38165;-53.46462;5.520396233
L-03.fq.gz;L-03;NWA;L;F;47.38165;-53.46462;5.520396233
L-04.fq.gz;L-04;NWA;L;F;47.38165;-53.46462;5.520396233
L-05.fq.gz;L-05;NWA;L;F;47.38165;-53.46462;5.520396233
L-06.fq.gz;L-06;NWA;L;F;47.38165;-53.46462;5.520396233
L-07.fq.gz;L-07;NWA;L;F;47.38165;-53.46462;5.520396233
L-08.fq.gz;L-08;NWA;L;M;47.38165;-53.46462;5.520396233
L-09.fq.gz;L-09;NWA;L;M;47.38165;-53.46462;5.520396233
L-10.fq.gz;L-10;NWA;L;M;47.38165;-53.46462;5.520396233
L-11.fq.gz;L-11;NWA;L;M;47.38165;-53.46462;5.520396233
L-12.fq.gz;L-12;NWA;L;M;47.38165;-53.46462;5.520396233
L-13.fq.gz;L-13;NWA;L;M;47.38165;-53.46462;5.520396233
L-14.fq.gz;L-14;NWA;L;M;47.38165;-53.46462;5.520396233
L-15.fq.gz;L-15;NWA;L;M;47.38165;-53.46462;5.520396233
L-16.fq.gz;L-16;NWA;L;M;47.38165;-53.46462;5.520396233
L-17.fq.gz;L-17;NWA;L;M;47.38165;-53.46462;5.520396233
L-18.fq.gz;L-18;NWA;L;F;47.38165;-53.46462;5.520396233
L-19.fq.gz;L-19;NWA;L;F;47.38165;-53.46462;5.520396233
L-20.fq.gz;L-20;NWA;L;F;47.38165;-53.46462;5.520396233
H-01.fq.gz;H-01;NWA;H;M;48.31732;-68.871665;3.895676136
H-02.fq.gz;H-02;NWA;H;M;48.31732;-68.871665;3.895676136
H-03.fq.gz;H-03;NWA;H;M;48.31732;-68.871665;3.895676136
H-04.fq.gz;H-04;NWA;H;M;48.31732;-68.871665;3.895676136
H-05.fq.gz;H-05;NWA;H;M;48.31732;-68.871665;3.895676136
H-06.fq.gz;H-06;NWA;H;F;48.31732;-68.871665;3.895676136
H-07.fq.gz;H-07;NWA;H;M;48.31732;-68.871665;3.895676136
H-08.fq.gz;H-08;NWA;H;F;48.31732;-68.871665;3.895676136
H-09.fq.gz;H-09;NWA;H;F;48.31732;-68.871665;3.895676136
H-10.fq.gz;H-10;NWA;H;F;48.31732;-68.871665;3.895676136
H-11.fq.gz;H-11;NWA;H;F;48.31732;-68.871665;3.895676136
H-12.fq.gz;H-12;NWA;H;F;48.31732;-68.871665;3.895676136
H-13.fq.gz;H-13;NWA;H;F;48.31732;-68.871665;3.895676136
H-14.fq.gz;H-14;NWA;H;F;48.31732;-68.871665;3.895676136
H-15.fq.gz;H-15;NWA;H;F;48.31732;-68.871665;3.895676136
H-16.fq.gz;H-16;NWA;H;F;48.31732;-68.871665;3.895676136
H-17.fq.gz;H-17;NWA;H;M;48.31732;-68.871665;3.895676136
H-18.fq.gz;H-18;NWA;H;M;48.31732;-68.871665;3.895676136
H-19.fq.gz;H-19;NWA;H;M;48.31732;-68.871665;3.895676136
H-20.fq.gz;H-20;NWA;H;M;48.31732;-68.871665;3.895676136
O-01.fq.gz;O-01;GRE;O;NA;NA;NA;NA
O-02.fq.gz;O-02;GRE;O;NA;NA;NA;NA
O-03.fq.gz;O-03;GRE;O;NA;NA;NA;NA
O-04.fq.gz;O-04;GRE;O;NA;NA;NA;NA
O-05.fq.gz;O-05;GRE;O;NA;NA;NA;NA
O-06.fq.gz;O-06;GRE;O;NA;NA;NA;NA
O-07.fq.gz;O-07;GRE;O;NA;NA;NA;NA
O-08.fq.gz;O-08;GRE;O;NA;NA;NA;NA
O-09.fq.gz;O-09;GRE;O;NA;NA;NA;NA
O-10.fq.gz;O-10;GRE;O;NA;NA;NA;NA
O-11.fq.gz;O-11;GRE;O;NA;NA;NA;NA
O-12.fq.gz;O-12;GRE;O;NA;NA;NA;NA
O-13.fq.gz;O-13;GRE;O;NA;NA;NA;NA
O-14.fq.gz;O-14;GRE;O;NA;NA;NA;NA
O-15.fq.gz;O-15;GRE;O;NA;NA;NA;NA
O-16.fq.gz;O-16;GRE;O;NA;NA;NA;NA
O-17.fq.gz;O-17;GRE;O;NA;NA;NA;NA
O-18.fq.gz;O-18;GRE;O;NA;NA;NA;NA
O-19.fq.gz;O-19;GRE;O;NA;NA;NA;NA
O-20.fq.gz;O-20;GRE;O;NA;NA;NA;NA
U-01.fq.gz;U-01;GRE;U;NA;NA;NA;NA
U-02.fq.gz;U-02;GRE;U;NA;NA;NA;NA
U-03.fq.gz;U-03;GRE;U;NA;NA;NA;NA
U-04.fq.gz;U-04;GRE;U;NA;NA;NA;NA
U-05.fq.gz;U-05;GRE;U;NA;NA;NA;NA
U-06.fq.gz;U-06;GRE;U;NA;NA;NA;NA
U-07.fq.gz;U-07;GRE;U;NA;NA;NA;NA
U-08.fq.gz;U-08;GRE;U;NA;NA;NA;NA
U-09.fq.gz;U-09;GRE;U;NA;NA;NA;NA
U-10.fq.gz;U-10;GRE;U;NA;NA;NA;NA
U-11.fq.gz;U-11;GRE;U;NA;NA;NA;NA
U-12.fq.gz;U-12;GRE;U;NA;NA;NA;NA
U-13.fq.gz;U-13;GRE;U;NA;NA;NA;NA
U-14.fq.gz;U-14;GRE;U;NA;NA;NA;NA
U-15.fq.gz;U-15;GRE;U;NA;NA;NA;NA
U-16.fq.gz;U-16;GRE;U;NA;NA;NA;NA
U-17.fq.gz;U-17;GRE;U;NA;NA;NA;NA
U-18.fq.gz;U-18;GRE;U;NA;NA;NA;NA
U-19.fq.gz;U-19;GRE;U;NA;NA;NA;NA
U-20.fq.gz;U-20;GRE;U;NA;NA;NA;NA
I-01.fq.gz;I-01;NWA;I;M;48.251333;-64.75547;2.092103243
