	L	H	O	U	I	F	B	J	D	E	C	G	K	A
L		0.0131453	0.043015	0.0433627	0.0132757	0.0130071	0.013783	0.0139298	0.0131167	0.0128241	0.0133458	0.0130596	0.0134028	0.0147128
H			0.0425187	0.0427769	0.0134828	0.0136388	0.0136629	0.0138302	0.0132965	0.013371	0.0136651	0.0133812	0.0135233	0.0145847
O				0.0132718	0.0439981	0.044476	0.0431541	0.0442651	0.0436805	0.043862	0.0444014	0.0440783	0.0432811	0.0432184
U					0.0441322	0.0448397	0.0435556	0.0448715	0.0441746	0.0441354	0.0446449	0.0447507	0.0435777	0.0437667
I						0.0129128	0.0143984	0.0145184	0.0136549	0.0134409	0.0130028	0.0134309	0.01394	0.0143311
F							0.0141525	0.0137872	0.013315	0.0129025	0.0130036	0.0127973	0.0135571	0.0145944
B								0.0141826	0.0137935	0.0138856	0.0142338	0.0133262	0.0138923	0.014422
J									0.0128892	0.0133646	0.01402	0.0134803	0.0137554	0.0154632
D										0.0130504	0.0134468	0.013034	0.0132057	0.0146711
E											0.013471	0.0127049	0.0131465	0.0140899
C												0.0130909	0.0133429	0.0146316
G													0.0129823	0.0141022
K														0.0144644
