# Phi_st Means
	L	H	O	U	I	F	B	J	D	E	C	G	K	A
L		0.000399365	0.044645	0.0451765	0.000633882	4.93029e-06	0.00154019	0.0017667	0.000155684	-0.00039208	0.000699035	2.0601e-05	0.000708819	0.00314764
H			0.0439007	0.0443447	0.00109252	0.00132446	0.00141559	0.00166453	0.000568069	0.000773681	0.00136668	0.000730483	0.00102213	0.00308482
O				0.00051217	0.0458268	0.0462602	0.0447476	0.0461063	0.0452872	0.0455811	0.0464196	0.046145	0.0446821	0.0450488
U					0.0460957	0.0469865	0.0453919	0.0471232	0.0461718	0.0460098	0.0467326	0.0471826	0.0451808	0.0459252
I						-0.000140216	0.00276326	0.00264817	0.00112774	0.000868282	3.34401e-05	0.000768647	0.00175594	0.00250172
F							0.00220909	0.00132432	0.000427719	-0.000261833	3.66778e-06	-0.00048582	0.000998433	0.00279712
B								0.00232445	0.00147992	0.00171671	0.00243435	0.000602426	0.00170659	0.00273984
J									-0.000362374	0.000626952	0.00165934	0.000813709	0.00136854	0.00440247
D										-6.08159e-05	0.000694507	-0.000127617	0.00022256	0.00290994
E											0.000904115	-0.000692552	0.00016005	0.00194282
C												0.000136965	0.000595898	0.00304052
G													-0.000179694	0.00197196
K														0.00266049

# Fst' Means
	L	H	O	U	I	F	B	J	D	E	C	G	K	A
L		-0.000422257	0.0267331	0.0273409	7.85146e-05	-0.000221824	0.000403857	0.000307045	-0.000363797	-0.000599603	0.000158385	-0.000206146	-0.000376776	0.00120841
H			0.0261715	0.0267118	0.000186659	0.000279166	-6.41044e-06	6.20393e-05	-0.000153424	-0.000338263	0.000328393	-0.000153976	-0.000214111	0.0010602
O				-0.000227438	0.0279666	0.0282977	0.0267252	0.0277949	0.0271493	0.0275209	0.0282023	0.0276724	0.0270589	0.0272236
U					0.0283951	0.0288793	0.0272347	0.0286191	0.0278734	0.028099	0.0286585	0.0285244	0.0276288	0.0280138
I						-0.000420921	0.000908274	0.001222	0.000494283	3.25428e-05	-0.00039691	3.12347e-05	0.000297044	0.000728287
F							0.000548216	0.000600048	-1.03454e-05	-0.000504313	-0.000402322	-0.0004703	-0.000109203	0.0012517
B								0.000441927	0.000142127	0.00020164	0.000825312	-0.000206686	7.41174e-05	0.000962322
J									-0.000755791	-0.000249596	0.000801936	2.89361e-05	-0.000145114	0.00200931
D										-0.00061772	0.000356954	-0.000391978	-0.000655743	0.00135573
E											-8.52495e-05	-0.000670267	-0.000664654	0.000901664
C												-0.000443225	-0.000159466	0.000950582
G													-0.000720534	0.000355458
K														0.000997554

# Dxy Means
	L	H	O	U	I	F	B	J	D	E	C	G	K	A
L		0.00123277	0.00138878	0.00139484	0.00124127	0.00124077	0.00128224	0.00133813	0.00136254	0.00132068	0.00129182	0.00137182	0.00134967	0.00132292
H			0.00135013	0.00135202	0.00119937	0.00119973	0.0012368	0.00129898	0.00134267	0.00127939	0.00126043	0.00133953	0.0013157	0.00128819
O				0.00127027	0.0013585	0.00135073	0.0013919	0.00145678	0.00146679	0.00141941	0.00140908	0.00148257	0.00146892	0.00145309
U					0.00136646	0.00135751	0.00139066	0.00145554	0.00147323	0.00142188	0.00141681	0.00148445	0.00146647	0.00146151
I						0.0012094	0.00122706	0.00131331	0.00134129	0.00128469	0.00126368	0.00135267	0.00133011	0.00130065
F							0.00123171	0.00131148	0.00133903	0.00127609	0.00125171	0.0013444	0.00132644	0.00129954
B								0.00130757	0.00136027	0.00130224	0.0012735	0.00135159	0.00133234	0.00131043
J									0.00144332	0.00137797	0.00137135	0.00142144	0.00140172	0.00137523
D										0.00140861	0.00139275	0.00146365	0.00143787	0.00141771
E											0.00132215	0.00140911	0.00138865	0.00137905
C												0.00138407	0.00137816	0.0013405
G													0.00142878	0.0014093
K														0.00139635
