# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
L	347	19.77401	0.35373	0.00667	0.98545	0.00319	0.00063	0.02497	0.00890	0.00106	0.97503	0.00890	0.00106	0.02228	0.00534	0.00082	0.97772	0.00534	0.00082	0.02287	0.00563	0.00084	-0.00261	0.00787	0.00667
H	372	19.82387	0.30378	0.00618	0.98516	0.00330	0.00064	0.02514	0.00920	0.00108	0.97486	0.00920	0.00108	0.02264	0.00549	0.00083	0.97736	0.00549	0.00083	0.02324	0.00578	0.00085	-0.00057	0.01044	0.00618
O	679	19.78409	0.37607	0.00688	0.98295	0.00367	0.00068	0.02999	0.01079	0.00117	0.97001	0.01079	0.00117	0.02618	0.00605	0.00087	0.97382	0.00605	0.00087	0.02688	0.00638	0.00090	-0.00448	0.00958	0.00688
U	654	19.74317	0.48326	0.00780	0.98293	0.00366	0.00068	0.02823	0.00941	0.00109	0.97177	0.00941	0.00109	0.02624	0.00608	0.00087	0.97376	0.00608	0.00087	0.02693	0.00641	0.00090	0.00092	0.01089	0.00780
I	357	19.81657	0.34195	0.00656	0.98560	0.00329	0.00064	0.02441	0.00924	0.00108	0.97559	0.00924	0.00108	0.02182	0.00525	0.00081	0.97818	0.00525	0.00081	0.02239	0.00553	0.00083	-0.00058	0.01071	0.00656
F	274	19.80096	0.30878	0.00623	0.98589	0.00325	0.00064	0.02525	0.01005	0.00112	0.97475	0.01005	0.00112	0.02133	0.00525	0.00081	0.97867	0.00525	0.00081	0.02190	0.00554	0.00084	-0.00576	0.00820	0.00623
B	316	19.77930	0.36592	0.00679	0.98603	0.00313	0.00063	0.02310	0.00823	0.00102	0.97690	0.00823	0.00102	0.02129	0.00517	0.00081	0.97871	0.00517	0.00081	0.02185	0.00545	0.00083	0.00143	0.01010	0.00679
J	263	19.69357	0.54270	0.00827	0.98646	0.00305	0.00062	0.02241	0.00814	0.00101	0.97759	0.00814	0.00101	0.02061	0.00504	0.00080	0.97939	0.00504	0.00080	0.02116	0.00531	0.00082	0.00097	0.00975	0.00827
D	273	19.66096	0.55804	0.00838	0.98624	0.00304	0.00062	0.02454	0.00940	0.00109	0.97546	0.00940	0.00109	0.02106	0.00510	0.00080	0.97894	0.00510	0.00080	0.02163	0.00539	0.00082	-0.00425	0.00875	0.00838
E	300	19.76608	0.38068	0.00692	0.98555	0.00326	0.00064	0.02586	0.00995	0.00112	0.97414	0.00995	0.00112	0.02198	0.00531	0.00082	0.97802	0.00531	0.00082	0.02257	0.00561	0.00084	-0.00553	0.00820	0.00692
C	275	19.77553	0.36675	0.00680	0.98575	0.00331	0.00065	0.02455	0.00943	0.00109	0.97545	0.00943	0.00109	0.02149	0.00528	0.00082	0.97851	0.00528	0.00082	0.02206	0.00556	0.00084	-0.00310	0.00893	0.00680
G	267	19.67556	0.56370	0.00842	0.98583	0.00329	0.00064	0.02502	0.00989	0.00112	0.97498	0.00989	0.00112	0.02137	0.00533	0.00082	0.97863	0.00533	0.00082	0.02194	0.00563	0.00084	-0.00442	0.00894	0.00842
K	295	19.67846	0.55789	0.00838	0.98585	0.00313	0.00063	0.02450	0.00901	0.00107	0.97550	0.00901	0.00107	0.02164	0.00523	0.00081	0.97836	0.00523	0.00081	0.02222	0.00552	0.00083	-0.00272	0.00835	0.00838
A	275	19.69105	0.54292	0.00827	0.98591	0.00326	0.00064	0.02410	0.00929	0.00108	0.97590	0.00929	0.00108	0.02126	0.00521	0.00081	0.97874	0.00521	0.00081	0.02183	0.00549	0.00083	-0.00172	0.01016	0.00827
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
L	347	855826	7943	1407	0.16440	19.94640	0.09222	0.00033	0.99987	0.00003	0.00001	0.00023	0.00009	0.00001	0.99977	0.00009	0.00001	0.00021	0.00005	0.00001	0.99979	0.00005	0.00001	0.00021	0.00006	0.00001	-0.00002	0.00007	0.00033
H	372	855826	7943	1430	0.16709	19.91438	0.15697	0.00043	0.99986	0.00003	0.00001	0.00023	0.00009	0.00001	0.99977	0.00009	0.00001	0.00021	0.00006	0.00001	0.99979	0.00006	0.00001	0.00022	0.00006	0.00001	-0.00001	0.00010	0.00043
O	679	855826	7943	1697	0.19829	19.94610	0.09923	0.00034	0.99984	0.00004	0.00001	0.00028	0.00011	0.00001	0.99972	0.00011	0.00001	0.00024	0.00006	0.00001	0.99976	0.00006	0.00001	0.00025	0.00007	0.00001	-0.00004	0.00009	0.00034
U	654	855826	7943	1683	0.19665	19.90029	0.18776	0.00047	0.99984	0.00004	0.00001	0.00026	0.00009	0.00001	0.99974	0.00009	0.00001	0.00024	0.00006	0.00001	0.99976	0.00006	0.00001	0.00025	0.00007	0.00001	0.00001	0.00010	0.00047
I	357	855826	7943	1383	0.16160	19.93360	0.11763	0.00037	0.99987	0.00003	0.00001	0.00023	0.00009	0.00001	0.99977	0.00009	0.00001	0.00020	0.00005	0.00001	0.99980	0.00005	0.00001	0.00021	0.00006	0.00001	-0.00001	0.00010	0.00037
F	274	855826	7943	1335	0.15599	19.64466	0.72709	0.00092	0.99987	0.00003	0.00001	0.00023	0.00010	0.00001	0.99977	0.00010	0.00001	0.00020	0.00005	0.00001	0.99980	0.00005	0.00001	0.00020	0.00006	0.00001	-0.00005	0.00008	0.00092
B	316	855826	7943	1326	0.15494	19.92956	0.12430	0.00038	0.99987	0.00003	0.00001	0.00021	0.00008	0.00001	0.99979	0.00008	0.00001	0.00020	0.00005	0.00001	0.99980	0.00005	0.00001	0.00020	0.00005	0.00001	0.00001	0.00009	0.00038
J	263	855826	7943	1243	0.14524	19.94234	0.10029	0.00034	0.99987	0.00003	0.00001	0.00021	0.00008	0.00001	0.99979	0.00008	0.00001	0.00019	0.00005	0.00001	0.99981	0.00005	0.00001	0.00020	0.00005	0.00001	0.00001	0.00009	0.00034
D	273	855826	7943	1301	0.15202	19.91885	0.15166	0.00042	0.99987	0.00003	0.00001	0.00023	0.00009	0.00001	0.99977	0.00009	0.00001	0.00020	0.00005	0.00001	0.99980	0.00005	0.00001	0.00020	0.00005	0.00001	-0.00004	0.00008	0.00042
E	300	855826	7943	1382	0.16148	19.94551	0.08733	0.00032	0.99987	0.00003	0.00001	0.00024	0.00010	0.00001	0.99976	0.00010	0.00001	0.00020	0.00005	0.00001	0.99980	0.00005	0.00001	0.00021	0.00006	0.00001	-0.00005	0.00008	0.00032
C	275	855826	7943	1333	0.15576	19.93833	0.10609	0.00035	0.99987	0.00003	0.00001	0.00023	0.00009	0.00001	0.99977	0.00009	0.00001	0.00020	0.00005	0.00001	0.99980	0.00005	0.00001	0.00020	0.00006	0.00001	-0.00003	0.00008	0.00035
G	267	855826	7943	1289	0.15061	19.94623	0.09256	0.00033	0.99987	0.00003	0.00001	0.00023	0.00010	0.00001	0.99977	0.00010	0.00001	0.00020	0.00005	0.00001	0.99980	0.00005	0.00001	0.00020	0.00006	0.00001	-0.00004	0.00008	0.00033
K	295	855826	7943	1341	0.15669	19.94975	0.09188	0.00033	0.99987	0.00003	0.00001	0.00023	0.00009	0.00001	0.99977	0.00009	0.00001	0.00020	0.00005	0.00001	0.99980	0.00005	0.00001	0.00021	0.00006	0.00001	-0.00003	0.00008	0.00033
A	275	855826	7943	1324	0.15470	19.93008	0.13230	0.00039	0.99987	0.00003	0.00001	0.00022	0.00009	0.00001	0.99978	0.00009	0.00001	0.00020	0.00005	0.00001	0.99980	0.00005	0.00001	0.00020	0.00006	0.00001	-0.00002	0.00009	0.00039
