# Phi_st Means
	L	H	I	F	B	J	D	E	C	G	K	A
L		0.000243918	-0.000134967	-8.55127e-06	0.00115342	0.00189365	0.000188045	-0.000596645	0.000417454	-2.42277e-05	0.00037649	0.00374884
H			0.00108247	0.0009461	0.000793414	0.00115475	0.000178461	-4.32922e-05	0.000973508	0.000305763	0.000663873	0.00333329
I				7.24584e-05	0.00216438	0.00268858	0.00155509	0.000524868	0.000173037	0.000536352	0.0013807	0.00221077
F					0.00238535	0.00210693	0.000697364	0.000307149	-0.000364769	0.00072644	0.00106887	0.00381605
B						0.00213514	0.00130165	0.000881959	0.00240346	0.000643523	0.00137251	0.00215473
J							2.56335e-05	0.00102711	0.00206073	0.00160827	0.000963532	0.0052567
D								-0.000165414	0.00121082	-0.000399151	0.000109412	0.00486893
E									0.000481262	-0.000616537	-0.000142024	0.00245292
C										0.000118123	0.00102118	0.00319638
G											-0.000378628	0.00255703
K												0.00322743

# Fst' Means
	L	H	I	F	B	J	D	E	C	G	K	A
L		-0.000377792	-0.000240856	-0.000345829	8.59251e-05	0.000300815	-0.000547989	-0.000793134	0.000107649	-0.000528095	-0.000488048	0.00155892
H			0.000211569	-1.87178e-05	-0.00019777	6.61615e-05	-0.000439066	-0.000538139	0.000303817	-0.000358339	-0.000201657	0.00129633
I				-0.00040723	0.00083819	0.00160841	0.000730532	5.12128e-05	-0.000334789	-0.000170193	0.000396759	0.00091118
F					0.000896823	0.000933669	5.29259e-05	-0.000249689	-0.000563099	-0.000324968	-5.81843e-05	0.00172438
B						0.000383763	-2.64624e-05	-0.000270213	0.000840831	-0.000330766	-0.000179072	0.000612492
J							-0.000575592	-0.000104859	0.00118398	0.000281157	-0.000252261	0.00285657
D								-0.000827753	0.000537271	-0.000642725	-0.000704546	0.00220126
E									-0.000138741	-0.00087511	-0.000641342	0.00110103
C										-0.000403089	7.40952e-05	0.000997564
G											-0.000793434	0.000505729
K												0.00122787

# Dxy Means
	L	H	I	F	B	J	D	E	C	G	K	A
L		0.0012499	0.00126009	0.0012674	0.00128701	0.00133198	0.00139306	0.00133885	0.0012997	0.00140839	0.0013617	0.00137455
H			0.00123229	0.00124323	0.00127223	0.00132462	0.0013936	0.0013216	0.00128638	0.00138256	0.00134877	0.00135061
I				0.00125207	0.00128143	0.00135007	0.00140874	0.00132665	0.00129469	0.00140389	0.00136343	0.00138931
F					0.00128329	0.00134977	0.00139206	0.0013251	0.0012813	0.00139702	0.00135223	0.00138111
B						0.0013388	0.00140428	0.00134261	0.00131474	0.00139895	0.00137068	0.00137348
J							0.00147084	0.00140897	0.00137187	0.00145786	0.00140946	0.00143493
D								0.00145437	0.00143314	0.0015291	0.00147714	0.00149431
E									0.00135467	0.00145281	0.00141645	0.00143833
C										0.00143166	0.00139972	0.00138872
G											0.00148083	0.00148193
K												0.00144957
