CNV_locus	CHR	POS	outlier
Chr1_140	Chr1	140	FALSE
Chr1_461	Chr1	461	FALSE
Chr1_476	Chr1	476	FALSE
Chr1_506	Chr1	506	FALSE
Chr1_513	Chr1	513	FALSE
Chr1_863	Chr1	863	FALSE
Chr1_883	Chr1	883	FALSE
Chr1_1050	Chr1	1050	FALSE
Chr1_1064	Chr1	1064	FALSE
Chr1_1583	Chr1	1583	FALSE
Chr1_1838	Chr1	1838	FALSE
Chr1_2178	Chr1	2178	FALSE
Chr1_2240	Chr1	2240	FALSE
Chr1_2353	Chr1	2353	FALSE
Chr1_2385	Chr1	2385	TRUE
Chr1_3401	Chr1	3401	FALSE
Chr1_3508	Chr1	3508	FALSE
Chr1_3936	Chr1	3936	FALSE
Chr1_4339	Chr1	4339	FALSE
Chr1_5270	Chr1	5270	FALSE
Chr1_5273	Chr1	5273	FALSE
Chr1_5471	Chr1	5471	FALSE
Chr1_5989	Chr1	5989	FALSE
Chr1_6014	Chr1	6014	FALSE
Chr1_6016	Chr1	6016	FALSE
Chr1_6041	Chr1	6041	FALSE
Chr1_6099	Chr1	6099	FALSE
Chr1_6127	Chr1	6127	FALSE
Chr1_6442	Chr1	6442	FALSE
Chr1_6449	Chr1	6449	FALSE
Chr1_6608	Chr1	6608	FALSE
Chr1_7017	Chr1	7017	FALSE
Chr1_7205	Chr1	7205	FALSE
Chr1_7566	Chr1	7566	FALSE
Chr1_7761	Chr1	7761	FALSE
Chr1_7935	Chr1	7935	FALSE
Chr1_7984	Chr1	7984	TRUE
Chr1_8205	Chr1	8205	FALSE
Chr1_8280	Chr1	8280	FALSE
Chr1_8822	Chr1	8822	FALSE
Chr1_8940	Chr1	8940	FALSE
Chr1_8993	Chr1	8993	FALSE
Chr1_9202	Chr1	9202	FALSE
Chr1_9317	Chr1	9317	FALSE
Chr1_9464	Chr1	9464	FALSE
Chr1_9833	Chr1	9833	FALSE
Chr1_10465	Chr1	10465	FALSE
Chr1_10763	Chr1	10763	TRUE
Chr1_10824	Chr1	10824	FALSE
Chr1_11783	Chr1	11783	FALSE
Chr1_11806	Chr1	11806	FALSE
Chr1_12002	Chr1	12002	FALSE
Chr1_12173	Chr1	12173	FALSE
Chr1_12222	Chr1	12222	FALSE
Chr1_12318	Chr1	12318	FALSE
Chr1_12584	Chr1	12584	FALSE
Chr1_13146	Chr1	13146	FALSE
Chr1_13386	Chr1	13386	FALSE
Chr1_13405	Chr1	13405	FALSE
Chr1_13460	Chr1	13460	FALSE
Chr1_13461	Chr1	13461	FALSE
Chr1_14190	Chr1	14190	FALSE
Chr1_14548	Chr1	14548	FALSE
Chr1_14897	Chr1	14897	FALSE
Chr1_15576	Chr1	15576	FALSE
Chr1_15915	Chr1	15915	FALSE
Chr1_16146	Chr1	16146	FALSE
Chr1_16169	Chr1	16169	FALSE
Chr1_16292	Chr1	16292	FALSE
Chr1_16764	Chr1	16764	FALSE
Chr1_16844	Chr1	16844	FALSE
Chr2_16965	Chr2	16965	FALSE
Chr2_17216	Chr2	17216	FALSE
Chr2_17526	Chr2	17526	FALSE
Chr2_18019	Chr2	18019	FALSE
Chr2_18068	Chr2	18068	FALSE
Chr2_18708	Chr2	18708	FALSE
Chr2_19275	Chr2	19275	FALSE
Chr2_19654	Chr2	19654	FALSE
Chr2_20030	Chr2	20030	FALSE
Chr2_20171	Chr2	20171	FALSE
Chr2_20690	Chr2	20690	FALSE
Chr2_20797	Chr2	20797	FALSE
Chr2_20865	Chr2	20865	FALSE
Chr2_21092	Chr2	21092	FALSE
Chr2_21203	Chr2	21203	FALSE
Chr2_21679	Chr2	21679	FALSE
Chr2_21853	Chr2	21853	FALSE
Chr2_22034	Chr2	22034	FALSE
Chr2_22237	Chr2	22237	FALSE
Chr2_22357	Chr2	22357	FALSE
Chr2_22784	Chr2	22784	FALSE
Chr2_22968	Chr2	22968	FALSE
Chr2_23021	Chr2	23021	FALSE
Chr2_23057	Chr2	23057	FALSE
Chr2_23087	Chr2	23087	FALSE
Chr2_23385	Chr2	23385	FALSE
Chr2_23553	Chr2	23553	FALSE
Chr2_24070	Chr2	24070	FALSE
Chr2_24215	Chr2	24215	FALSE
Chr2_24217	Chr2	24217	FALSE
Chr2_24699	Chr2	24699	FALSE
Chr2_24864	Chr2	24864	FALSE
Chr2_25317	Chr2	25317	FALSE
Chr2_25337	Chr2	25337	FALSE
Chr2_26124	Chr2	26124	FALSE
Chr2_26217	Chr2	26217	FALSE
Chr2_26326	Chr2	26326	FALSE
Chr2_26856	Chr2	26856	FALSE
Chr2_27299	Chr2	27299	FALSE
Chr2_27704	Chr2	27704	FALSE
Chr2_28014	Chr2	28014	FALSE
Chr2_28135	Chr2	28135	FALSE
Chr2_28608	Chr2	28608	FALSE
Chr2_28944	Chr2	28944	FALSE
Chr2_29109	Chr2	29109	FALSE
Chr2_29161	Chr2	29161	FALSE
Chr2_29238	Chr2	29238	FALSE
Chr2_29647	Chr2	29647	FALSE
Chr2_30586	Chr2	30586	FALSE
Chr2_30809	Chr2	30809	FALSE
Chr2_31085	Chr2	31085	FALSE
Chr2_31347	Chr2	31347	FALSE
Chr2_31432	Chr2	31432	FALSE
Chr2_31857	Chr2	31857	FALSE
Chr2_31923	Chr2	31923	FALSE
Chr2_31953	Chr2	31953	FALSE
Chr2_32341	Chr2	32341	FALSE
Chr2_32931	Chr2	32931	FALSE
Chr2_32939	Chr2	32939	FALSE
Chr2_33428	Chr2	33428	FALSE
Chr3_33832	Chr3	33832	FALSE
Chr3_33993	Chr3	33993	FALSE
Chr3_34508	Chr3	34508	FALSE
Chr3_34563	Chr3	34563	FALSE
Chr3_34668	Chr3	34668	FALSE
Chr3_34880	Chr3	34880	TRUE
Chr3_35177	Chr3	35177	FALSE
Chr3_35183	Chr3	35183	FALSE
Chr3_35345	Chr3	35345	FALSE
Chr3_35611	Chr3	35611	FALSE
Chr3_35674	Chr3	35674	FALSE
Chr3_35775	Chr3	35775	FALSE
Chr3_36097	Chr3	36097	FALSE
Chr3_36169	Chr3	36169	FALSE
Chr3_36467	Chr3	36467	FALSE
Chr3_36563	Chr3	36563	FALSE
Chr3_36823	Chr3	36823	FALSE
Chr3_36905	Chr3	36905	FALSE
Chr3_36966	Chr3	36966	FALSE
Chr3_37008	Chr3	37008	FALSE
Chr3_37220	Chr3	37220	FALSE
Chr3_37221	Chr3	37221	FALSE
Chr3_37710	Chr3	37710	TRUE
Chr3_38127	Chr3	38127	FALSE
Chr3_38517	Chr3	38517	FALSE
Chr3_38677	Chr3	38677	FALSE
Chr3_38707	Chr3	38707	FALSE
Chr3_38927	Chr3	38927	FALSE
Chr3_39179	Chr3	39179	FALSE
Chr3_39580	Chr3	39580	FALSE
Chr3_39628	Chr3	39628	FALSE
Chr3_39858	Chr3	39858	FALSE
Chr3_40039	Chr3	40039	FALSE
Chr3_40159	Chr3	40159	FALSE
Chr3_40232	Chr3	40232	FALSE
Chr3_40255	Chr3	40255	FALSE
Chr3_40507	Chr3	40507	FALSE
Chr3_40622	Chr3	40622	FALSE
Chr3_40760	Chr3	40760	FALSE
Chr3_40954	Chr3	40954	FALSE
Chr3_41108	Chr3	41108	FALSE
Chr3_41116	Chr3	41116	TRUE
Chr3_41314	Chr3	41314	FALSE
Chr3_41589	Chr3	41589	FALSE
Chr3_41899	Chr3	41899	FALSE
Chr3_41907	Chr3	41907	FALSE
Chr3_42130	Chr3	42130	FALSE
Chr3_42134	Chr3	42134	FALSE
Chr3_42555	Chr3	42555	FALSE
Chr3_42755	Chr3	42755	FALSE
Chr3_42865	Chr3	42865	FALSE
Chr3_43406	Chr3	43406	FALSE
Chr3_43475	Chr3	43475	FALSE
Chr3_43590	Chr3	43590	FALSE
Chr3_43690	Chr3	43690	FALSE
Chr3_44841	Chr3	44841	FALSE
Chr3_45260	Chr3	45260	FALSE
Chr3_45691	Chr3	45691	FALSE
Chr3_45789	Chr3	45789	FALSE
Chr3_46549	Chr3	46549	FALSE
Chr3_46817	Chr3	46817	FALSE
Chr3_46919	Chr3	46919	FALSE
Chr3_47023	Chr3	47023	FALSE
Chr3_47269	Chr3	47269	FALSE
Chr3_47302	Chr3	47302	FALSE
Chr3_47323	Chr3	47323	FALSE
Chr3_47559	Chr3	47559	FALSE
Chr3_47884	Chr3	47884	FALSE
Chr3_47918	Chr3	47918	FALSE
Chr3_48008	Chr3	48008	FALSE
Chr3_48815	Chr3	48815	FALSE
Chr3_48901	Chr3	48901	FALSE
Chr3_49090	Chr3	49090	FALSE
Chr3_49163	Chr3	49163	FALSE
Chr3_49305	Chr3	49305	FALSE
Chr3_49491	Chr3	49491	FALSE
Chr3_49493	Chr3	49493	FALSE
Chr3_49641	Chr3	49641	FALSE
Chr3_49654	Chr3	49654	FALSE
Chr3_49680	Chr3	49680	FALSE
Chr3_49864	Chr3	49864	FALSE
Chr4_50287	Chr4	50287	FALSE
Chr4_50847	Chr4	50847	FALSE
Chr4_51269	Chr4	51269	FALSE
Chr4_51303	Chr4	51303	FALSE
Chr4_51478	Chr4	51478	FALSE
Chr4_51606	Chr4	51606	FALSE
Chr4_51768	Chr4	51768	FALSE
Chr4_52267	Chr4	52267	FALSE
Chr4_52763	Chr4	52763	FALSE
Chr4_52852	Chr4	52852	FALSE
Chr4_52984	Chr4	52984	FALSE
Chr4_53069	Chr4	53069	FALSE
Chr4_53350	Chr4	53350	FALSE
Chr4_53654	Chr4	53654	FALSE
Chr4_53771	Chr4	53771	FALSE
Chr4_53782	Chr4	53782	FALSE
Chr4_54229	Chr4	54229	FALSE
Chr4_54392	Chr4	54392	FALSE
Chr4_54498	Chr4	54498	FALSE
Chr4_54615	Chr4	54615	FALSE
Chr4_54831	Chr4	54831	FALSE
Chr4_54886	Chr4	54886	FALSE
Chr4_55039	Chr4	55039	FALSE
Chr4_55160	Chr4	55160	FALSE
Chr4_55248	Chr4	55248	FALSE
Chr4_55519	Chr4	55519	FALSE
Chr4_55948	Chr4	55948	FALSE
Chr4_56017	Chr4	56017	FALSE
Chr4_56095	Chr4	56095	FALSE
Chr4_56310	Chr4	56310	FALSE
Chr4_56380	Chr4	56380	FALSE
Chr4_56517	Chr4	56517	FALSE
Chr4_56679	Chr4	56679	FALSE
Chr4_56823	Chr4	56823	FALSE
Chr4_57153	Chr4	57153	FALSE
Chr4_57230	Chr4	57230	FALSE
Chr4_57299	Chr4	57299	FALSE
Chr4_57540	Chr4	57540	FALSE
Chr4_57628	Chr4	57628	FALSE
Chr4_57678	Chr4	57678	FALSE
Chr4_57696	Chr4	57696	FALSE
Chr4_58408	Chr4	58408	FALSE
Chr4_58527	Chr4	58527	TRUE
Chr4_58806	Chr4	58806	FALSE
Chr4_59405	Chr4	59405	FALSE
Chr4_59419	Chr4	59419	FALSE
Chr4_59619	Chr4	59619	FALSE
Chr4_59636	Chr4	59636	FALSE
Chr4_59642	Chr4	59642	FALSE
Chr4_59728	Chr4	59728	TRUE
Chr4_59763	Chr4	59763	FALSE
Chr4_59879	Chr4	59879	FALSE
Chr4_59880	Chr4	59880	FALSE
Chr4_59984	Chr4	59984	FALSE
Chr4_60361	Chr4	60361	FALSE
Chr4_60716	Chr4	60716	FALSE
Chr4_60844	Chr4	60844	FALSE
Chr4_60921	Chr4	60921	FALSE
Chr4_61038	Chr4	61038	FALSE
Chr4_61046	Chr4	61046	FALSE
Chr4_61075	Chr4	61075	FALSE
