# Population NWA	H_01,H_02,H_03,H_04,H_05,H_06,H_07,H_08,H_09,H_10,H_11,H_12,H_13,H_14,H_15,H_16,H_17,H_18,H_19,H_20,L_01,L_02,L_03,L_04,L_05,L_06,L_07,L_08,L_09,L_10,L_11,L_12,L_13,L_14,L_15,L_16,L_17,L_18,L_19,L_20
# Population GRE	O_01,O_02,O_03,O_04,O_05,O_06,O_07,O_08,O_09,O_10,O_11,O_12,O_13,O_14,O_15,O_16,O_17,O_18,O_19,O_20,U_01,U_02,U_03,U_04,U_05,U_06,U_07,U_08,U_09,U_10,U_11,U_12,U_13,U_14,U_15,U_16,U_17,U_18,U_19,U_20
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
2	NWA	GRE	Chr1	4677	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00015	0.00000	0.00000
20	NWA	GRE	Chr1	37129	0.03797	0.00000	0.00000	0.00199	0.00000	0.00000	0.00199	0.00000	0.00000	0.00059	0.00000	0.00000
25	NWA	GRE	Chr1	53567	0.09225	0.00000	0.00000	0.01032	0.00000	0.00000	0.01320	0.00000	0.00000	0.00148	0.00000	0.00000
29	NWA	GRE	Chr1	64230	-0.00257	0.00000	0.00000	-0.00004	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00014	0.00000	0.00000
40	NWA	GRE	Chr1	73361	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00015	0.00000	0.00000
44	NWA	GRE	Chr1	76180	0.01219	0.00000	0.00000	0.00032	0.00000	0.00000	0.00032	0.00000	0.00000	0.00029	0.00000	0.00000
51	NWA	GRE	Chr1	91740	0.00033	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00016	0.00000	0.00000
52	NWA	GRE	Chr1	94188	0.00034	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00016	0.00000	0.00000
56	NWA	GRE	Chr1	99389	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00015	0.00000	0.00000
64	NWA	GRE	Chr1	102633	0.01266	0.00000	0.00000	0.00032	0.00000	0.00000	0.00032	0.00000	0.00000	0.00030	0.00000	0.00000
