# Population L	L_01,L_02,L_03,L_04,L_05,L_06,L_07,L_08,L_09,L_10,L_11,L_12,L_13,L_14,L_15,L_16,L_17,L_18,L_19,L_20
# Population I	I_01,I_02,I_03,I_04,I_05,I_06,I_07,I_08,I_09,I_10,I_11,I_12,I_13,I_14,I_15,I_16,I_17,I_18,I_19,I_20
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
49	L	I	Chr1	53567	-0.02163	0.00000	0.00000	-0.00414	0.00000	0.00000	-0.00414	0.00000	0.00000	0.00190	0.00000	0.00000
95	L	I	Chr1	94188	-0.00144	0.00000	0.00000	-0.00004	0.00000	0.00000	-0.00269	0.00000	0.00000	0.00200	0.00000	0.00000
140	L	I	Chr1	149979	-0.00991	0.00000	0.00000	-0.00710	0.00000	0.00000	0.01087	0.00000	0.00000	0.00538	0.00000	0.00000
154	L	I	Chr1	182037	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
166	L	I	Chr1	215221	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
180	L	I	Chr1	225616	0.05128	0.00000	0.00000	0.00414	0.00000	0.00000	0.00414	0.00000	0.00000	0.00083	0.00000	0.00000
184	L	I	Chr1	232847	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
258	L	I	Chr1	323744	-0.00415	0.00000	0.00000	-0.00011	0.00000	0.00000	0.01834	0.00000	0.00000	0.00206	0.00000	0.00000
333	L	I	Chr1	466587	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00087	0.00000	0.00000
362	L	I	Chr1	505933	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
370	L	I	Chr1	510200	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00059	0.00000	0.00000
395	L	I	Chr1	544934	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
438	L	I	Chr1	586724	0.00152	0.00000	0.00000	0.00004	0.00000	0.00000	0.00034	0.00000	0.00000	0.00197	0.00000	0.00000
449	L	I	Chr1	594231	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00274	0.00000	0.00000	0.00134	0.00000	0.00000
461	L	I	Chr1	610914	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
464	L	I	Chr1	611287	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
465	L	I	Chr1	611411	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
506	L	I	Chr1	653300	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
510	L	I	Chr1	659593	-0.02695	0.00000	0.00000	-0.00146	0.00000	0.00000	0.00756	0.00000	0.00000	0.00160	0.00000	0.00000
512	L	I	Chr1	663248	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
514	L	I	Chr1	664675	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
520	L	I	Chr1	667731	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
587	L	I	Chr1	768214	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
606	L	I	Chr1	791138	0.00385	0.00000	0.00000	0.00174	0.00000	0.00000	-0.00455	0.00000	0.00000	0.00464	0.00000	0.00000
616	L	I	Chr1	805791	0.00986	0.00000	0.00000	0.00191	0.00000	0.00000	0.00191	0.00000	0.00000	0.00197	0.00000	0.00000
619	L	I	Chr1	807535	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
672	L	I	Chr1	889519	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00053	0.00000	0.00000
689	L	I	Chr1	898233	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
690	L	I	Chr1	898435	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
745	L	I	Chr1	975335	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
815	L	I	Chr1	1027799	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
827	L	I	Chr1	1036486	0.00332	0.00000	0.00000	0.00010	0.00000	0.00000	0.01014	0.00000	0.00000	0.00229	0.00000	0.00000
849	L	I	Chr1	1066280	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
862	L	I	Chr1	1091025	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
876	L	I	Chr1	1107801	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
879	L	I	Chr1	1108052	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00089	0.00000	0.00000
893	L	I	Chr1	1121580	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00056	0.00000	0.00000
934	L	I	Chr1	1158537	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00059	0.00000	0.00000
945	L	I	Chr1	1170386	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
954	L	I	Chr1	1193667	0.05128	0.00000	0.00000	0.00414	0.00000	0.00000	0.00414	0.00000	0.00000	0.00086	0.00000	0.00000
977	L	I	Chr1	1232220	0.07692	0.00000	0.00000	0.00847	0.00000	0.00000	0.00847	0.00000	0.00000	0.00119	0.00000	0.00000
1005	L	I	Chr1	1294399	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1050	L	I	Chr1	1323300	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1059	L	I	Chr1	1325760	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00059	0.00000	0.00000
1074	L	I	Chr1	1338138	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1097	L	I	Chr1	1359360	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1138	L	I	Chr1	1401179	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00059	0.00000	0.00000
1139	L	I	Chr1	1401182	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1147	L	I	Chr1	1407019	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1244	L	I	Chr1	1508457	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1249	L	I	Chr1	1510889	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1262	L	I	Chr1	1523375	-0.01858	0.00000	0.00000	-0.00149	0.00000	0.00000	-0.00131	0.00000	0.00000	0.00144	0.00000	0.00000
1300	L	I	Chr1	1541625	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
1429	L	I	Chr1	1634958	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1432	L	I	Chr1	1637638	-0.01350	0.00000	0.00000	-0.01388	0.00000	0.00000	0.01867	0.00000	0.00000	0.00726	0.00000	0.00000
1455	L	I	Chr1	1659846	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1463	L	I	Chr1	1669507	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1515	L	I	Chr1	1713898	-0.00597	0.00000	0.00000	-0.00472	0.00000	0.00000	0.00030	0.00000	0.00000	0.00556	0.00000	0.00000
1532	L	I	Chr1	1732137	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00004	0.00000	0.00000	0.00088	0.00000	0.00000
1542	L	I	Chr1	1755668	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00059	0.00000	0.00000
1570	L	I	Chr1	1781025	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00058	0.00000	0.00000
1582	L	I	Chr1	1790860	0.02376	0.00000	0.00000	0.00128	0.00000	0.00000	0.00007	0.00000	0.00000	0.00120	0.00000	0.00000
1605	L	I	Chr1	1807138	-0.02329	0.00000	0.00000	-0.00880	0.00000	0.00000	-0.00880	0.00000	0.00000	0.00323	0.00000	0.00000
