# Population L	L_01,L_02,L_03,L_04,L_05,L_06,L_07,L_08,L_09,L_10,L_11,L_12,L_13,L_14,L_15,L_16,L_17,L_18,L_19,L_20
# Population B	B_01,B_02,B_03,B_04,B_05,B_06,B_07,B_08,B_09,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
49	L	B	Chr1	53567	-0.01563	0.00000	0.00000	-0.00542	0.00000	0.00000	-0.00542	0.00000	0.00000	0.00304	0.00000	0.00000
74	L	B	Chr1	73361	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00058	0.00000	0.00000
127	L	B	Chr1	116327	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
140	L	B	Chr1	149979	-0.02387	0.00000	0.00000	-0.01376	0.00000	0.00000	-0.01376	0.00000	0.00000	0.00410	0.00000	0.00000
154	L	B	Chr1	182037	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
238	L	B	Chr1	298972	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
362	L	B	Chr1	505933	0.00958	0.00000	0.00000	0.00793	0.00000	0.00000	0.00793	0.00000	0.00000	0.00533	0.00000	0.00000
370	L	B	Chr1	510200	-0.00733	0.00000	0.00000	-0.00119	0.00000	0.00000	-0.00119	0.00000	0.00000	0.00166	0.00000	0.00000
428	L	B	Chr1	579112	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00060	0.00000	0.00000
435	L	B	Chr1	584204	0.00609	0.00000	0.00000	0.00618	0.00000	0.00000	0.00919	0.00000	0.00000	0.00644	0.00000	0.00000
461	L	B	Chr1	610914	-0.00163	0.00000	0.00000	-0.00018	0.00000	0.00000	-0.00127	0.00000	0.00000	0.00163	0.00000	0.00000
464	L	B	Chr1	611287	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
465	L	B	Chr1	611411	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
