id_snp	chromosome	position	RDA1
1262:33:-	Chr1	1523343	0.116742331595441
1582:14:+	Chr1	1790873	-0.150741226609784
2846:22:+	Chr1	3105385	-0.0934796641653517
6032:68:+	Chr1	9143069	0.0998719397051042
6532:52:+	Chr1	9704174	-0.101817843500325
6579:30:-	Chr1	9745682	-0.106090834081905
9446:22:-	Chr1	13013854	0.107096429510689
10581:27:-	Chr1	14372479	-0.0955624123658136
10890:47:+	Chr1	14699531	-0.130154195210679
11409:63:+	Chr1	15557892	-0.0959799006694057
13386:64:-	Chr1	17639157	0.112903743177469
17833:23:+	Chr2	1344324	-0.105527914959698
17977:15:-	Chr2	1480163	-0.0989772109212657
19956:64:-	Chr2	3374602	-0.118346763841756
20844:15:+	Chr2	4146312	-0.113884671673134
22218:55:+	Chr2	5692298	-0.117273574621637
23455:8:-	Chr2	7321216	0.110540384554124
23519:40:+	Chr2	7410193	0.118750441299791
23542:26:+	Chr2	7432569	0.0971556144529548
23574:39:+	Chr2	7455690	0.0966390405812196
24215:36:-	Chr2	8233556	0.102875977877703
28724:42:+	Chr2	13924384	-0.108917851267612
28741:53:+	Chr2	13971857	-0.100844112853018
29165:49:-	Chr2	14493699	-0.114843855359666
29224:69:-	Chr2	14551484	0.10280701423864
29943:55:+	Chr2	15367254	0.0981364641365851
30711:69:+	Chr2	16132861	0.101230139511128
31195:42:+	Chr2	16618749	-0.0991215933570594
31416:38:+	Chr2	16837868	-0.0929287202080867
32064:36:+	Chr2	17847920	-0.114225960119456
34100:24:-	Chr3	301417	-0.100382139718886
36686:30:+	Chr3	3153157	-0.106078736630397
37802:46:-	Chr3	4426273	0.0989720042341915
38820:21:-	Chr3	5362208	-0.108621110208772
39146:30:-	Chr3	5654298	0.159959328448346
39875:46:-	Chr3	6496089	0.101494344515206
42004:45:-	Chr3	8462390	0.0961495393501909
42204:39:+	Chr3	8649323	-0.103215765739884
43965:68:-	Chr3	10520204	0.10085490314123
44012:18:-	Chr3	10614257	-0.10692403449145
45941:27:-	Chr3	12535482	-0.113769251157563
51240:32:+	Chr4	1060151	0.127666543622726
53505:52:-	Chr4	3667957	0.0966057937148791
54831:42:-	Chr4	5243338	0.098654309446893
55511:57:-	Chr4	6017948	0.105084590109785
55948:43:-	Chr4	6520067	0.139253621000678
56669:19:+	Chr4	7243922	-0.109572599844081
56928:70:-	Chr4	7642495	-0.10224462836833
57112:48:+	Chr4	7888974	0.105627220563754
57230:19:-	Chr4	8053070	-0.144034181213306
57299:52:-	Chr4	8136121	0.107027906249784
59054:45:-	Chr4	10144836	-0.118243713514437
59405:74:-	Chr4	10574631	0.188423741663759
60292:65:-	Chr4	11479664	-0.124482989262703
60485:7:+	Chr4	11689023	-0.167189458051992
62607:38:-	Chr4	13761246	0.11066448236518
63169:63:-	Chr4	14353882	-0.190659879040789
63184:43:-	Chr4	14361688	-0.165901659820195
63522:31:+	Chr4	14712430	0.115288175511165
66551:56:+	Chr5	26562	-0.0988025407991107
67723:39:+	Chr5	1504894	0.0983183775399531
67781:41:-	Chr5	1576680	0.279785568854268
68206:69:+	Chr5	2047109	-0.0984222659238886
68502:80:-	Chr5	2445585	0.152345755087165
70274:47:-	Chr5	4921625	0.0986047684790586
70690:16:+	Chr5	5342785	-0.0988965752943902
71723:63:-	Chr5	6777770	0.102760245962744
72599:6:+	Chr5	7784498	-0.0987851418895512
