# Population O	O_01,O_02,O_03,O_04,O_05,O_06,O_07,O_08,O_09,O_10,O_11,O_12,O_13,O_14,O_15,O_16,O_17,O_18,O_19,O_20
# Population U	U_01,U_02,U_03,U_04,U_05,U_06,U_07,U_08,U_09,U_10,U_11,U_12,U_13,U_14,U_15,U_16,U_17,U_18,U_19,U_20
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
39	O	U	Chr1	37129	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
49	O	U	Chr1	53567	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
58	O	U	Chr1	64230	-0.03226	0.00000	0.00000	-0.00665	0.00000	0.00000	-0.01962	0.00000	0.00000	0.00469	0.00000	0.00000
74	O	U	Chr1	73361	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
78	O	U	Chr1	76180	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00087	0.00000	0.00000
102	O	U	Chr1	99389	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
110	O	U	Chr1	102633	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
113	O	U	Chr1	104476	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
127	O	U	Chr1	116327	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00057	0.00000	0.00000
163	O	U	Chr1	214134	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00057	0.00000	0.00000
166	O	U	Chr1	215221	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
175	O	U	Chr1	223665	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
223	O	U	Chr1	281312	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
