# Population L	L_01,L_02,L_03,L_04,L_05,L_06,L_07,L_08,L_09,L_10,L_11,L_12,L_13,L_14,L_15,L_16,L_17,L_18,L_19,L_20
# Population A	A_01,A_02,A_03,A_04,A_05,A_06,A_07,A_08,A_09,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
39	L	A	Chr1	37129	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
49	L	A	Chr1	53567	-0.02564	0.00000	0.00000	-0.00415	0.00000	0.00000	-0.00415	0.00000	0.00000	0.00165	0.00000	0.00000
74	L	A	Chr1	73361	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
95	L	A	Chr1	94188	-0.02630	0.00000	0.00000	-0.00139	0.00000	0.00000	0.00007	0.00000	0.00000	0.00120	0.00000	0.00000
140	L	A	Chr1	149979	0.08361	0.00000	0.00000	0.03264	0.00000	0.00000	0.03264	0.00000	0.00000	0.00325	0.00000	0.00000
154	L	A	Chr1	182037	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
163	L	A	Chr1	214134	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
166	L	A	Chr1	215221	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
180	L	A	Chr1	225616	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
209	L	A	Chr1	264035	-0.00268	0.00000	0.00000	-0.00007	0.00000	0.00000	0.00588	0.00000	0.00000	0.00142	0.00000	0.00000
238	L	A	Chr1	298972	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
258	L	A	Chr1	323744	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
362	L	A	Chr1	505933	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
370	L	A	Chr1	510200	-0.02564	0.00000	0.00000	-0.00270	0.00000	0.00000	-0.00270	0.00000	0.00000	0.00113	0.00000	0.00000
382	L	A	Chr1	526673	-0.00572	0.00000	0.00000	-0.00016	0.00000	0.00000	0.03810	0.00000	0.00000	0.00255	0.00000	0.00000
449	L	A	Chr1	594231	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00274	0.00000	0.00000	0.00134	0.00000	0.00000
458	L	A	Chr1	604957	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
461	L	A	Chr1	610914	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
464	L	A	Chr1	611287	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
471	L	A	Chr1	618925	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
506	L	A	Chr1	653300	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
510	L	A	Chr1	659593	-0.02044	0.00000	0.00000	-0.00168	0.00000	0.00000	0.00483	0.00000	0.00000	0.00183	0.00000	0.00000
514	L	A	Chr1	664675	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
569	L	A	Chr1	744704	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
587	L	A	Chr1	768214	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
606	L	A	Chr1	791138	-0.00975	0.00000	0.00000	-0.00403	0.00000	0.00000	-0.00905	0.00000	0.00000	0.00445	0.00000	0.00000
616	L	A	Chr1	805791	0.03319	0.00000	0.00000	0.00594	0.00000	0.00000	0.01481	0.00000	0.00000	0.00334	0.00000	0.00000
619	L	A	Chr1	807535	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
672	L	A	Chr1	889519	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00027	0.00000	0.00000
