# Population H	H_01,H_02,H_03,H_04,H_05,H_06,H_07,H_08,H_09,H_10,H_11,H_12,H_13,H_14,H_15,H_16,H_17,H_18,H_19,H_20
# Population O	O_01,O_02,O_03,O_04,O_05,O_06,O_07,O_08,O_09,O_10,O_11,O_12,O_13,O_14,O_15,O_16,O_17,O_18,O_19,O_20
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
39	H	O	Chr1	37129	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
49	H	O	Chr1	53567	0.00391	0.00000	0.00000	0.00043	0.00000	0.00000	0.00463	0.00000	0.00000	0.00172	0.00000	0.00000
58	H	O	Chr1	64230	0.07836	0.00000	0.00000	0.00723	0.00000	0.00000	0.07067	0.00000	0.00000	0.00301	0.00000	0.00000
74	H	O	Chr1	73361	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
78	H	O	Chr1	76180	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00087	0.00000	0.00000
113	H	O	Chr1	104476	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
139	H	O	Chr1	144587	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
140	H	O	Chr1	149979	0.27628	0.00000	0.00000	0.09951	0.00000	0.00000	0.11289	0.00000	0.00000	0.00368	0.00000	0.00000
163	H	O	Chr1	214134	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
166	H	O	Chr1	215221	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
175	H	O	Chr1	223665	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
184	H	O	Chr1	232847	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
238	H	O	Chr1	298972	1.00000	0.00000	0.00000	1.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.01172	0.00000	0.00000
245	H	O	Chr1	307675	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
248	H	O	Chr1	308422	0.05128	0.00000	0.00000	0.00414	0.00000	0.00000	0.00414	0.00000	0.00000	0.00090	0.00000	0.00000
258	H	O	Chr1	323744	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
362	H	O	Chr1	505933	0.49038	0.00000	0.00000	0.49705	0.00000	0.00000	0.50102	0.00000	0.00000	0.00822	0.00000	0.00000
370	H	O	Chr1	510200	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
429	H	O	Chr1	579253	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
435	H	O	Chr1	584204	0.37752	0.00000	0.00000	0.32885	0.00000	0.00000	0.31785	0.00000	0.00000	0.00774	0.00000	0.00000
461	H	O	Chr1	610914	0.00764	0.00000	0.00000	0.00200	0.00000	0.00000	0.00766	0.00000	0.00000	0.00285	0.00000	0.00000
464	H	O	Chr1	611287	0.08424	0.00000	0.00000	0.00959	0.00000	0.00000	0.01632	0.00000	0.00000	0.00174	0.00000	0.00000
465	H	O	Chr1	611411	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
471	H	O	Chr1	618925	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
510	H	O	Chr1	659593	0.00297	0.00000	0.00000	0.00008	0.00000	0.00000	0.01159	0.00000	0.00000	0.00137	0.00000	0.00000
512	H	O	Chr1	663248	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
520	H	O	Chr1	667731	0.42857	0.00000	0.00000	0.25532	0.00000	0.00000	0.24622	0.00000	0.00000	0.00656	0.00000	0.00000
569	H	O	Chr1	744704	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
606	H	O	Chr1	791138	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00086	0.00000	0.00000
680	H	O	Chr1	892079	0.00486	0.00000	0.00000	0.00014	0.00000	0.00000	0.02721	0.00000	0.00000	0.00196	0.00000	0.00000
688	H	O	Chr1	898230	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00031	0.00000	0.00000
735	H	O	Chr1	972149	0.02903	0.00000	0.00000	0.00157	0.00000	0.00000	0.00567	0.00000	0.00000	0.00115	0.00000	0.00000
815	H	O	Chr1	1027799	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00059	0.00000	0.00000
863	H	O	Chr1	1091510	0.19503	0.00000	0.00000	0.14307	0.00000	0.00000	0.13945	0.00000	0.00000	0.00599	0.00000	0.00000
876	H	O	Chr1	1107801	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
903	H	O	Chr1	1126220	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00089	0.00000	0.00000
934	H	O	Chr1	1158537	0.17949	0.00000	0.00000	0.04294	0.00000	0.00000	0.04294	0.00000	0.00000	0.00234	0.00000	0.00000
957	H	O	Chr1	1195328	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1059	H	O	Chr1	1325760	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00086	0.00000	0.00000
1074	H	O	Chr1	1338138	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1141	H	O	Chr1	1403998	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1142	H	O	Chr1	1405663	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00274	0.00000	0.00000	0.00139	0.00000	0.00000
1145	H	O	Chr1	1406318	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1175	H	O	Chr1	1442058	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00059	0.00000	0.00000
1193	H	O	Chr1	1454331	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00057	0.00000	0.00000
