# Population U	U_01,U_02,U_03,U_04,U_05,U_06,U_07,U_08,U_09,U_10,U_11,U_12,U_13,U_14,U_15,U_16,U_17,U_18,U_19,U_20
# Population K	K_01,K_02,K_03,K_04,K_05,K_06,K_07,K_08,K_09,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
49	U	K	Chr1	53567	0.12233	0.00000	0.00000	0.01849	0.00000	0.00000	0.04124	0.00000	0.00000	0.00267	0.00000	0.00000
58	U	K	Chr1	64230	0.07504	0.00000	0.00000	0.00711	0.00000	0.00000	0.04465	0.00000	0.00000	0.00330	0.00000	0.00000
102	U	K	Chr1	99389	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
110	U	K	Chr1	102633	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
127	U	K	Chr1	116327	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00057	0.00000	0.00000
140	U	K	Chr1	149979	0.22160	0.00000	0.00000	0.06317	0.00000	0.00000	0.07522	0.00000	0.00000	0.00311	0.00000	0.00000
163	U	K	Chr1	214134	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
223	U	K	Chr1	281312	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
238	U	K	Chr1	298972	0.97367	0.00000	0.00000	0.97297	0.00000	0.00000	0.97305	0.00000	0.00000	0.01143	0.00000	0.00000
244	U	K	Chr1	307672	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
333	U	K	Chr1	466587	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
362	U	K	Chr1	505933	0.38544	0.00000	0.00000	0.38986	0.00000	0.00000	0.38986	0.00000	0.00000	0.00731	0.00000	0.00000
370	U	K	Chr1	510200	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00059	0.00000	0.00000
382	U	K	Chr1	526673	0.00486	0.00000	0.00000	0.00014	0.00000	0.00000	0.02721	0.00000	0.00000	0.00203	0.00000	0.00000
435	U	K	Chr1	584204	0.57785	0.00000	0.00000	0.54807	0.00000	0.00000	0.54448	0.00000	0.00000	0.00858	0.00000	0.00000
438	U	K	Chr1	586724	0.02376	0.00000	0.00000	0.00128	0.00000	0.00000	0.00007	0.00000	0.00000	0.00117	0.00000	0.00000
449	U	K	Chr1	594231	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
