# Population F	F_01,F_02,F_03,F_04,F_05,F_06,F_07,F_08,F_09,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_20
# Population G	G_01,G_02,G_03,G_04,G_05,G_06,G_07,G_08,G_09,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
49	F	G	Chr1	53567	-0.02525	0.00000	0.00000	-0.00981	0.00000	0.00000	-0.00900	0.00000	0.00000	0.00372	0.00000	0.00000
95	F	G	Chr1	94188	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00031	0.00000	0.00000
127	F	G	Chr1	116327	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
140	F	G	Chr1	149979	0.01882	0.00000	0.00000	0.00759	0.00000	0.00000	0.00664	0.00000	0.00000	0.00405	0.00000	0.00000
245	F	G	Chr1	307675	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
350	F	G	Chr1	493168	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00087	0.00000	0.00000
362	F	G	Chr1	505933	-0.02793	0.00000	0.00000	-0.00955	0.00000	0.00000	0.01629	0.00000	0.00000	0.00428	0.00000	0.00000
370	F	G	Chr1	510200	-0.02564	0.00000	0.00000	-0.00270	0.00000	0.00000	-0.00270	0.00000	0.00000	0.00113	0.00000	0.00000
428	F	G	Chr1	579112	-0.02019	0.00000	0.00000	-0.00269	0.00000	0.00000	-0.00269	0.00000	0.00000	0.00141	0.00000	0.00000
435	F	G	Chr1	584204	-0.02134	0.00000	0.00000	-0.02180	0.00000	0.00000	-0.02587	0.00000	0.00000	0.00663	0.00000	0.00000
