# Population J	J_01,J_02,J_03,J_04,J_05,J_06,J_07,J_08,J_09,J_10,J_11,J_12,J_13,J_14,J_15,J_16,J_17,J_18,J_19,J_20
# Population D	D_01,D_02,D_03,D_04,D_05,D_06,D_07,D_08,D_09,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
3	J	D	Chr1	4677	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
49	J	D	Chr1	53567	-0.02609	0.00000	0.00000	-0.00927	0.00000	0.00000	-0.00726	0.00000	0.00000	0.00353	0.00000	0.00000
74	J	D	Chr1	73361	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00087	0.00000	0.00000
75	J	D	Chr1	73364	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
127	J	D	Chr1	116327	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
140	J	D	Chr1	149979	0.07306	0.00000	0.00000	0.04904	0.00000	0.00000	0.03920	0.00000	0.00000	0.00558	0.00000	0.00000
238	J	D	Chr1	298972	0.00486	0.00000	0.00000	0.00014	0.00000	0.00000	0.02721	0.00000	0.00000	0.00205	0.00000	0.00000
346	J	D	Chr1	491417	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
362	J	D	Chr1	505933	-0.02698	0.00000	0.00000	-0.01305	0.00000	0.00000	-0.01522	0.00000	0.00000	0.00488	0.00000	0.00000
370	J	D	Chr1	510200	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00059	0.00000	0.00000
408	J	D	Chr1	557515	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00090	0.00000	0.00000
428	J	D	Chr1	579112	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
435	J	D	Chr1	584204	-0.02560	0.00000	0.00000	-0.02597	0.00000	0.00000	-0.03003	0.00000	0.00000	0.00660	0.00000	0.00000
461	J	D	Chr1	610914	-0.01149	0.00000	0.00000	-0.00255	0.00000	0.00000	-0.00255	0.00000	0.00000	0.00208	0.00000	0.00000
465	J	D	Chr1	611411	0.00546	0.00000	0.00000	0.00016	0.00000	0.00000	0.02744	0.00000	0.00000	0.00305	0.00000	0.00000
506	J	D	Chr1	653300	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00088	0.00000	0.00000
513	J	D	Chr1	663251	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00091	0.00000	0.00000
594	J	D	Chr1	775096	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
680	J	D	Chr1	892079	-0.01514	0.00000	0.00000	-0.00133	0.00000	0.00000	0.00929	0.00000	0.00000	0.00281	0.00000	0.00000
733	J	D	Chr1	970140	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
735	J	D	Chr1	972149	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
744	J	D	Chr1	975332	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
863	J	D	Chr1	1091510	0.00391	0.00000	0.00000	0.00348	0.00000	0.00000	0.00940	0.00000	0.00000	0.00614	0.00000	0.00000
1058	J	D	Chr1	1325757	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00027	0.00000	0.00000
1059	J	D	Chr1	1325760	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00086	0.00000	0.00000
1071	J	D	Chr1	1337615	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1081	J	D	Chr1	1344551	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1102	J	D	Chr1	1360278	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1203	J	D	Chr1	1460142	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00057	0.00000	0.00000
1217	J	D	Chr1	1476210	-0.03030	0.00000	0.00000	-0.00184	0.00000	0.00000	-0.01091	0.00000	0.00000	0.00339	0.00000	0.00000
1249	J	D	Chr1	1510889	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00087	0.00000	0.00000
1262	J	D	Chr1	1523375	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1300	J	D	Chr1	1541625	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
1366	J	D	Chr1	1590628	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1405	J	D	Chr1	1618888	-0.02564	0.00000	0.00000	-0.01221	0.00000	0.00000	-0.01221	0.00000	0.00000	0.00379	0.00000	0.00000
1436	J	D	Chr1	1646116	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1488	J	D	Chr1	1694519	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1537	J	D	Chr1	1749228	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1569	J	D	Chr1	1781022	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1570	J	D	Chr1	1781025	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00056	0.00000	0.00000
1664	J	D	Chr1	1873586	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00058	0.00000	0.00000
1698	J	D	Chr1	1890722	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1712	J	D	Chr1	1894897	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1713	J	D	Chr1	1894900	-0.02329	0.00000	0.00000	-0.00880	0.00000	0.00000	-0.00880	0.00000	0.00000	0.00316	0.00000	0.00000
1770	J	D	Chr1	1935930	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1803	J	D	Chr1	1964889	-0.02163	0.00000	0.00000	-0.00414	0.00000	0.00000	-0.00414	0.00000	0.00000	0.00197	0.00000	0.00000
1806	J	D	Chr1	1968070	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00061	0.00000	0.00000
1818	J	D	Chr1	1982408	0.02531	0.00000	0.00000	0.00996	0.00000	0.00000	0.00585	0.00000	0.00000	0.00361	0.00000	0.00000
1852	J	D	Chr1	2033786	-0.02421	0.00000	0.00000	-0.02000	0.00000	0.00000	-0.02000	0.00000	0.00000	0.00524	0.00000	0.00000
1870	J	D	Chr1	2042240	0.00332	0.00000	0.00000	0.00010	0.00000	0.00000	0.01014	0.00000	0.00000	0.00254	0.00000	0.00000
1919	J	D	Chr1	2122744	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1949	J	D	Chr1	2171953	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
1953	J	D	Chr1	2182319	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1956	J	D	Chr1	2186708	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1965	J	D	Chr1	2193011	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00086	0.00000	0.00000
1983	J	D	Chr1	2209275	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
2055	J	D	Chr1	2293762	-0.00268	0.00000	0.00000	-0.00007	0.00000	0.00000	0.00588	0.00000	0.00000	0.00147	0.00000	0.00000
2059	J	D	Chr1	2297490	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
2153	J	D	Chr1	2402658	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
2162	J	D	Chr1	2424177	0.00297	0.00000	0.00000	0.00008	0.00000	0.00000	0.01159	0.00000	0.00000	0.00154	0.00000	0.00000
2246	J	D	Chr1	2497601	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
2368	J	D	Chr1	2633055	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
2394	J	D	Chr1	2663917	-0.02019	0.00000	0.00000	-0.00269	0.00000	0.00000	-0.00269	0.00000	0.00000	0.00139	0.00000	0.00000
2409	J	D	Chr1	2681175	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00057	0.00000	0.00000
2521	J	D	Chr1	2811329	-0.02392	0.00000	0.00000	-0.02086	0.00000	0.00000	-0.01977	0.00000	0.00000	0.00546	0.00000	0.00000
2530	J	D	Chr1	2832289	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00056	0.00000	0.00000
2547	J	D	Chr1	2854113	-0.02630	0.00000	0.00000	-0.00139	0.00000	0.00000	0.00007	0.00000	0.00000	0.00110	0.00000	0.00000
2580	J	D	Chr1	2879495	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
2642	J	D	Chr1	2922819	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
2666	J	D	Chr1	2941638	-0.02163	0.00000	0.00000	-0.00414	0.00000	0.00000	-0.00414	0.00000	0.00000	0.00188	0.00000	0.00000
2669	J	D	Chr1	2942095	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00085	0.00000	0.00000
2732	J	D	Chr1	3002019	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00056	0.00000	0.00000
2756	J	D	Chr1	3032146	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
2774	J	D	Chr1	3045831	0.04171	0.00000	0.00000	0.00711	0.00000	0.00000	0.00354	0.00000	0.00000	0.00220	0.00000	0.00000
2776	J	D	Chr1	3046298	-0.02564	0.00000	0.00000	-0.00566	0.00000	0.00000	-0.00566	0.00000	0.00000	0.00211	0.00000	0.00000
2789	J	D	Chr1	3056502	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
2813	J	D	Chr1	3071226	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
2819	J	D	Chr1	3076214	0.02703	0.00000	0.00000	0.00150	0.00000	0.00000	-0.00127	0.00000	0.00000	0.00171	0.00000	0.00000
2897	J	D	Chr1	3174127	-0.02233	0.00000	0.00000	-0.01240	0.00000	0.00000	0.01038	0.00000	0.00000	0.00515	0.00000	0.00000
2904	J	D	Chr1	3187581	-0.01579	0.00000	0.00000	-0.00127	0.00000	0.00000	0.00157	0.00000	0.00000	0.00146	0.00000	0.00000
2915	J	D	Chr1	3200871	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
2946	J	D	Chr1	3257303	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
2949	J	D	Chr1	3262927	-0.01680	0.00000	0.00000	-0.00131	0.00000	0.00000	-0.00131	0.00000	0.00000	0.00085	0.00000	0.00000
3012	J	D	Chr1	3365986	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
3060	J	D	Chr1	3437981	-0.02630	0.00000	0.00000	-0.00139	0.00000	0.00000	0.00007	0.00000	0.00000	0.00112	0.00000	0.00000
3095	J	D	Chr1	3467848	-0.02679	0.00000	0.00000	-0.00298	0.00000	0.00000	0.00660	0.00000	0.00000	0.00218	0.00000	0.00000
3134	J	D	Chr1	3509800	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00087	0.00000	0.00000
3135	J	D	Chr1	3512354	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
3212	J	D	Chr1	3579569	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00052	0.00000	0.00000
3256	J	D	Chr1	3634007	0.02903	0.00000	0.00000	0.00157	0.00000	0.00000	0.00567	0.00000	0.00000	0.00116	0.00000	0.00000
3299	J	D	Chr1	3700408	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
3335	J	D	Chr1	3739411	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00027	0.00000	0.00000
3401	J	D	Chr1	6019886	-0.02163	0.00000	0.00000	-0.00414	0.00000	0.00000	-0.00414	0.00000	0.00000	0.00181	0.00000	0.00000
3436	J	D	Chr1	6051701	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
3438	J	D	Chr1	6052528	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
3456	J	D	Chr1	6068496	-0.02857	0.00000	0.00000	-0.02152	0.00000	0.00000	-0.02902	0.00000	0.00000	0.00621	0.00000	0.00000
3534	J	D	Chr1	6157953	-0.00508	0.00000	0.00000	-0.00120	0.00000	0.00000	0.01483	0.00000	0.00000	0.00321	0.00000	0.00000
3593	J	D	Chr1	6221221	0.00546	0.00000	0.00000	0.00016	0.00000	0.00000	0.02744	0.00000	0.00000	0.00308	0.00000	0.00000
3694	J	D	Chr1	6331611	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00060	0.00000	0.00000
3741	J	D	Chr1	6398039	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
3806	J	D	Chr1	6477165	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
3847	J	D	Chr1	6517110	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
3881	J	D	Chr1	6549204	-0.01680	0.00000	0.00000	-0.00131	0.00000	0.00000	-0.00131	0.00000	0.00000	0.00083	0.00000	0.00000
4044	J	D	Chr1	6761297	-0.02126	0.00000	0.00000	-0.00300	0.00000	0.00000	-0.00589	0.00000	0.00000	0.00242	0.00000	0.00000
4071	J	D	Chr1	6793118	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
4116	J	D	Chr1	6843480	0.00297	0.00000	0.00000	0.00008	0.00000	0.00000	0.01159	0.00000	0.00000	0.00145	0.00000	0.00000
4149	J	D	Chr1	6872569	-0.00144	0.00000	0.00000	-0.00004	0.00000	0.00000	-0.00269	0.00000	0.00000	0.00186	0.00000	0.00000
4150	J	D	Chr1	6872931	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
4168	J	D	Chr1	6881055	-0.00864	0.00000	0.00000	-0.00198	0.00000	0.00000	0.00240	0.00000	0.00000	0.00267	0.00000	0.00000
4253	J	D	Chr1	6940027	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00091	0.00000	0.00000
4278	J	D	Chr1	6963563	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
4325	J	D	Chr1	7062917	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
4339	J	D	Chr1	7067719	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00058	0.00000	0.00000
4606	J	D	Chr1	7427510	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
4701	J	D	Chr1	7554808	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00085	0.00000	0.00000
4717	J	D	Chr1	7587414	0.00711	0.00000	0.00000	0.00020	0.00000	0.00000	0.03043	0.00000	0.00000	0.00218	0.00000	0.00000
4793	J	D	Chr1	7726947	-0.00513	0.00000	0.00000	-0.00515	0.00000	0.00000	-0.00515	0.00000	0.00000	0.00600	0.00000	0.00000
4853	J	D	Chr1	7823454	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
4894	J	D	Chr1	7907785	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00059	0.00000	0.00000
4899	J	D	Chr1	7916792	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
4900	J	D	Chr1	7916795	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00090	0.00000	0.00000
4902	J	D	Chr1	7919714	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
4918	J	D	Chr1	7937912	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
4954	J	D	Chr1	7973141	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
4957	J	D	Chr1	7976908	0.00171	0.00000	0.00000	0.00005	0.00000	0.00000	-0.00229	0.00000	0.00000	0.00295	0.00000	0.00000
4989	J	D	Chr1	8009540	-0.01149	0.00000	0.00000	-0.00255	0.00000	0.00000	-0.00255	0.00000	0.00000	0.00218	0.00000	0.00000
4996	J	D	Chr1	8012973	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00084	0.00000	0.00000
5007	J	D	Chr1	8016394	-0.02161	0.00000	0.00000	-0.00451	0.00000	0.00000	-0.00407	0.00000	0.00000	0.00325	0.00000	0.00000
5009	J	D	Chr1	8016788	0.05128	0.00000	0.00000	0.00414	0.00000	0.00000	0.00414	0.00000	0.00000	0.00088	0.00000	0.00000
5012	J	D	Chr1	8019122	0.04885	0.00000	0.00000	0.01370	0.00000	0.00000	0.00559	0.00000	0.00000	0.00393	0.00000	0.00000
5022	J	D	Chr1	8021880	-0.02019	0.00000	0.00000	-0.00269	0.00000	0.00000	-0.00269	0.00000	0.00000	0.00143	0.00000	0.00000
5031	J	D	Chr1	8025190	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
5048	J	D	Chr1	8046989	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
5063	J	D	Chr1	8075089	-0.02647	0.00000	0.00000	-0.02215	0.00000	0.00000	-0.01073	0.00000	0.00000	0.00606	0.00000	0.00000
5086	J	D	Chr1	8106572	0.16697	0.00000	0.00000	0.03622	0.00000	0.00000	0.04491	0.00000	0.00000	0.00365	0.00000	0.00000
5105	J	D	Chr1	8116899	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00086	0.00000	0.00000
5113	J	D	Chr1	8121445	-0.00298	0.00000	0.00000	-0.00008	0.00000	0.00000	-0.00248	0.00000	0.00000	0.00189	0.00000	0.00000
5115	J	D	Chr1	8122569	-0.02109	0.00000	0.00000	-0.01979	0.00000	0.00000	-0.02375	0.00000	0.00000	0.00590	0.00000	0.00000
5117	J	D	Chr1	8124409	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00086	0.00000	0.00000
5161	J	D	Chr1	8171520	-0.02564	0.00000	0.00000	-0.00270	0.00000	0.00000	-0.00270	0.00000	0.00000	0.00113	0.00000	0.00000
5239	J	D	Chr1	8269107	-0.00672	0.00000	0.00000	-0.00230	0.00000	0.00000	0.01164	0.00000	0.00000	0.00521	0.00000	0.00000
5273	J	D	Chr1	8295606	-0.01135	0.00000	0.00000	-0.00352	0.00000	0.00000	-0.00166	0.00000	0.00000	0.00406	0.00000	0.00000
5312	J	D	Chr1	8336563	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
5324	J	D	Chr1	8353094	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
5355	J	D	Chr1	8392816	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00089	0.00000	0.00000
5377	J	D	Chr1	8428171	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00087	0.00000	0.00000
5411	J	D	Chr1	8462344	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
5494	J	D	Chr1	8542488	0.02159	0.00000	0.00000	0.00655	0.00000	0.00000	0.00345	0.00000	0.00000	0.00359	0.00000	0.00000
5502	J	D	Chr1	8548327	-0.00333	0.00000	0.00000	-0.00010	0.00000	0.00000	0.00160	0.00000	0.00000	0.00313	0.00000	0.00000
5540	J	D	Chr1	8587545	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
5566	J	D	Chr1	8613788	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00054	0.00000	0.00000
5578	J	D	Chr1	8625703	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00060	0.00000	0.00000
5691	J	D	Chr1	8782806	0.01908	0.00000	0.00000	0.00266	0.00000	0.00000	0.00031	0.00000	0.00000	0.00200	0.00000	0.00000
5705	J	D	Chr1	8792259	0.00297	0.00000	0.00000	0.00008	0.00000	0.00000	0.01159	0.00000	0.00000	0.00143	0.00000	0.00000
5768	J	D	Chr1	8862882	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
