# Population L	L_01,L_02,L_03,L_04,L_05,L_06,L_07,L_08,L_09,L_10,L_11,L_12,L_13,L_14,L_15,L_16,L_17,L_18,L_19,L_20
# Population B	B_01,B_02,B_03,B_04,B_05,B_06,B_07,B_08,B_09,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
49	L	B	Chr1	53567	-0.02019	0.00000	0.00000	-0.00269	0.00000	0.00000	-0.00269	0.00000	0.00000	0.00139	0.00000	0.00000
74	L	B	Chr1	73361	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
95	L	B	Chr1	94188	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00092	0.00000	0.00000
110	L	B	Chr1	102633	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00088	0.00000	0.00000
127	L	B	Chr1	116327	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
140	L	B	Chr1	149979	-0.02387	0.00000	0.00000	-0.01376	0.00000	0.00000	-0.01376	0.00000	0.00000	0.00410	0.00000	0.00000
154	L	B	Chr1	182037	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
166	L	B	Chr1	215221	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
180	L	B	Chr1	225616	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00055	0.00000	0.00000
258	L	B	Chr1	323744	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
362	L	B	Chr1	505933	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
370	L	B	Chr1	510200	-0.00733	0.00000	0.00000	-0.00119	0.00000	0.00000	-0.00119	0.00000	0.00000	0.00166	0.00000	0.00000
449	L	B	Chr1	594231	-0.00462	0.00000	0.00000	-0.00014	0.00000	0.00000	0.01763	0.00000	0.00000	0.00283	0.00000	0.00000
461	L	B	Chr1	610914	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
464	L	B	Chr1	611287	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
471	L	B	Chr1	618925	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
476	L	B	Chr1	621080	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
506	L	B	Chr1	653300	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
510	L	B	Chr1	659593	-0.02044	0.00000	0.00000	-0.00168	0.00000	0.00000	0.00483	0.00000	0.00000	0.00183	0.00000	0.00000
514	L	B	Chr1	664675	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
520	L	B	Chr1	667731	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
587	L	B	Chr1	768214	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
606	L	B	Chr1	791138	-0.01969	0.00000	0.00000	-0.00526	0.00000	0.00000	0.00842	0.00000	0.00000	0.00332	0.00000	0.00000
616	L	B	Chr1	805791	-0.01149	0.00000	0.00000	-0.00255	0.00000	0.00000	-0.00255	0.00000	0.00000	0.00220	0.00000	0.00000
619	L	B	Chr1	807535	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
672	L	B	Chr1	889519	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00027	0.00000	0.00000
745	L	B	Chr1	975335	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
863	L	B	Chr1	1091510	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
879	L	B	Chr1	1108052	-0.00298	0.00000	0.00000	-0.00008	0.00000	0.00000	0.00382	0.00000	0.00000	0.00245	0.00000	0.00000
893	L	B	Chr1	1121580	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00056	0.00000	0.00000
954	L	B	Chr1	1193667	0.05128	0.00000	0.00000	0.00414	0.00000	0.00000	0.00414	0.00000	0.00000	0.00086	0.00000	0.00000
977	L	B	Chr1	1232220	-0.00733	0.00000	0.00000	-0.00119	0.00000	0.00000	-0.00119	0.00000	0.00000	0.00166	0.00000	0.00000
1005	L	B	Chr1	1294399	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1050	L	B	Chr1	1323300	0.00100	0.00000	0.00000	0.00011	0.00000	0.00000	0.00011	0.00000	0.00000	0.00114	0.00000	0.00000
1059	L	B	Chr1	1325760	0.05128	0.00000	0.00000	0.00414	0.00000	0.00000	0.00414	0.00000	0.00000	0.00088	0.00000	0.00000
1074	L	B	Chr1	1338138	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1097	L	B	Chr1	1359360	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1138	L	B	Chr1	1401179	-0.01680	0.00000	0.00000	-0.00131	0.00000	0.00000	-0.00131	0.00000	0.00000	0.00087	0.00000	0.00000
1139	L	B	Chr1	1401182	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1147	L	B	Chr1	1407019	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1188	L	B	Chr1	1452101	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1262	L	B	Chr1	1523375	0.02980	0.00000	0.00000	0.00672	0.00000	0.00000	0.00672	0.00000	0.00000	0.00222	0.00000	0.00000
1300	L	B	Chr1	1541625	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
1366	L	B	Chr1	1590628	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1429	L	B	Chr1	1634958	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1432	L	B	Chr1	1637638	-0.02603	0.00000	0.00000	-0.02639	0.00000	0.00000	0.03844	0.00000	0.00000	0.00709	0.00000	0.00000
1455	L	B	Chr1	1659846	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1463	L	B	Chr1	1669507	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1515	L	B	Chr1	1713898	-0.00597	0.00000	0.00000	-0.00472	0.00000	0.00000	0.00030	0.00000	0.00000	0.00556	0.00000	0.00000
1532	L	B	Chr1	1732137	-0.00298	0.00000	0.00000	-0.00008	0.00000	0.00000	0.01813	0.00000	0.00000	0.00202	0.00000	0.00000
1569	L	B	Chr1	1781022	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1570	L	B	Chr1	1781025	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00058	0.00000	0.00000
1582	L	B	Chr1	1790860	0.12433	0.00000	0.00000	0.02193	0.00000	0.00000	0.01586	0.00000	0.00000	0.00237	0.00000	0.00000
1605	L	B	Chr1	1807138	-0.02604	0.00000	0.00000	-0.01100	0.00000	0.00000	-0.00888	0.00000	0.00000	0.00391	0.00000	0.00000
1667	L	B	Chr1	1874750	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1668	L	B	Chr1	1877411	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1696	L	B	Chr1	1890155	0.05260	0.00000	0.00000	0.00906	0.00000	0.00000	0.01586	0.00000	0.00000	0.00228	0.00000	0.00000
1698	L	B	Chr1	1890722	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1699	L	B	Chr1	1890881	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1703	L	B	Chr1	1892538	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00059	0.00000	0.00000
1709	L	B	Chr1	1893954	-0.01893	0.00000	0.00000	-0.00673	0.00000	0.00000	-0.00726	0.00000	0.00000	0.00349	0.00000	0.00000
1711	L	B	Chr1	1894212	-0.02564	0.00000	0.00000	-0.00270	0.00000	0.00000	-0.00270	0.00000	0.00000	0.00110	0.00000	0.00000
1712	L	B	Chr1	1894897	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1836	L	B	Chr1	2002783	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1851	L	B	Chr1	2033562	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1852	L	B	Chr1	2033786	-0.01261	0.00000	0.00000	-0.00450	0.00000	0.00000	0.00000	0.00000	0.00000	0.00352	0.00000	0.00000
1863	L	B	Chr1	2038524	-0.02490	0.00000	0.00000	-0.00803	0.00000	0.00000	-0.00735	0.00000	0.00000	0.00328	0.00000	0.00000
1935	L	B	Chr1	2142868	0.00374	0.00000	0.00000	0.00011	0.00000	0.00000	0.00859	0.00000	0.00000	0.00323	0.00000	0.00000
1949	L	B	Chr1	2171953	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
1965	L	B	Chr1	2193011	-0.02019	0.00000	0.00000	-0.00269	0.00000	0.00000	-0.00269	0.00000	0.00000	0.00135	0.00000	0.00000
1983	L	B	Chr1	2209275	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
2059	L	B	Chr1	2297490	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
2072	L	B	Chr1	2313605	-0.01106	0.00000	0.00000	-0.00323	0.00000	0.00000	0.00122	0.00000	0.00000	0.00300	0.00000	0.00000
2074	L	B	Chr1	2314437	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
2134	L	B	Chr1	2378794	-0.01149	0.00000	0.00000	-0.00255	0.00000	0.00000	-0.00255	0.00000	0.00000	0.00218	0.00000	0.00000
