# Population I	I_01,I_02,I_03,I_04,I_05,I_06,I_07,I_08,I_09,I_10,I_11,I_12,I_13,I_14,I_15,I_16,I_17,I_18,I_19,I_20
# Population E	E_01,E_02,E_03,E_04,E_05,E_06,E_07,E_08,E_09,E_10,E_11,E_12,E_13,E_14,E_15,E_16,E_17,E_18,E_19,E_20
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
49	I	E	Chr1	53567	-0.01156	0.00000	0.00000	-0.00529	0.00000	0.00000	-0.00676	0.00000	0.00000	0.00411	0.00000	0.00000
74	I	E	Chr1	73361	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00087	0.00000	0.00000
90	I	E	Chr1	91740	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00031	0.00000	0.00000
110	I	E	Chr1	102633	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
127	I	E	Chr1	116327	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00056	0.00000	0.00000
140	I	E	Chr1	149979	-0.00991	0.00000	0.00000	-0.00710	0.00000	0.00000	0.01087	0.00000	0.00000	0.00538	0.00000	0.00000
180	I	E	Chr1	225616	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00082	0.00000	0.00000
238	I	E	Chr1	298972	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
320	I	E	Chr1	444125	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
362	I	E	Chr1	505933	0.01319	0.00000	0.00000	0.00654	0.00000	0.00000	0.01330	0.00000	0.00000	0.00431	0.00000	0.00000
370	I	E	Chr1	510200	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00059	0.00000	0.00000
395	I	E	Chr1	544934	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
428	I	E	Chr1	579112	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00059	0.00000	0.00000
435	I	E	Chr1	584204	-0.02086	0.00000	0.00000	-0.02131	0.00000	0.00000	0.01192	0.00000	0.00000	0.00698	0.00000	0.00000
438	I	E	Chr1	586724	0.02495	0.00000	0.00000	0.00142	0.00000	0.00000	-0.00268	0.00000	0.00000	0.00222	0.00000	0.00000
461	I	E	Chr1	610914	-0.01453	0.00000	0.00000	-0.00120	0.00000	0.00000	0.01085	0.00000	0.00000	0.00195	0.00000	0.00000
464	I	E	Chr1	611287	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
465	I	E	Chr1	611411	-0.01579	0.00000	0.00000	-0.00127	0.00000	0.00000	0.00157	0.00000	0.00000	0.00146	0.00000	0.00000
510	I	E	Chr1	659593	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00027	0.00000	0.00000
594	I	E	Chr1	775096	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
651	I	E	Chr1	858217	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00031	0.00000	0.00000
680	I	E	Chr1	892079	-0.00161	0.00000	0.00000	-0.00005	0.00000	0.00000	-0.00565	0.00000	0.00000	0.00270	0.00000	0.00000
690	I	E	Chr1	898435	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00057	0.00000	0.00000
744	I	E	Chr1	975332	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
827	I	E	Chr1	1036486	0.00171	0.00000	0.00000	0.00005	0.00000	0.00000	-0.00229	0.00000	0.00000	0.00266	0.00000	0.00000
863	I	E	Chr1	1091510	-0.01555	0.00000	0.00000	-0.01487	0.00000	0.00000	-0.01491	0.00000	0.00000	0.00650	0.00000	0.00000
934	I	E	Chr1	1158537	0.02376	0.00000	0.00000	0.00128	0.00000	0.00000	0.00007	0.00000	0.00000	0.00114	0.00000	0.00000
945	I	E	Chr1	1170386	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
977	I	E	Chr1	1232220	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1105	I	E	Chr1	1365025	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1145	I	E	Chr1	1406318	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1242	I	E	Chr1	1506503	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1244	I	E	Chr1	1508457	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1262	I	E	Chr1	1523375	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1366	I	E	Chr1	1590628	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00057	0.00000	0.00000
1405	I	E	Chr1	1618888	0.03625	0.00000	0.00000	0.01069	0.00000	0.00000	0.01577	0.00000	0.00000	0.00474	0.00000	0.00000
1515	I	E	Chr1	1713898	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1528	I	E	Chr1	1729519	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
1542	I	E	Chr1	1755668	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00059	0.00000	0.00000
1569	I	E	Chr1	1781022	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1570	I	E	Chr1	1781025	-0.02564	0.00000	0.00000	-0.00270	0.00000	0.00000	-0.00270	0.00000	0.00000	0.00110	0.00000	0.00000
1623	I	E	Chr1	1823907	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1647	I	E	Chr1	1850622	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1664	I	E	Chr1	1873586	-0.01680	0.00000	0.00000	-0.00131	0.00000	0.00000	-0.00131	0.00000	0.00000	0.00086	0.00000	0.00000
1667	I	E	Chr1	1874750	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1711	I	E	Chr1	1894212	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1713	I	E	Chr1	1894900	-0.02354	0.00000	0.00000	-0.01044	0.00000	0.00000	-0.01044	0.00000	0.00000	0.00353	0.00000	0.00000
1783	I	E	Chr1	1941644	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00054	0.00000	0.00000
1803	I	E	Chr1	1964889	-0.02019	0.00000	0.00000	-0.00269	0.00000	0.00000	-0.00269	0.00000	0.00000	0.00144	0.00000	0.00000
1806	I	E	Chr1	1968070	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00031	0.00000	0.00000
