CHROM	POS	WEIR_AND_COCKERHAM_FST
Chr4	6148284	0.529107
Chr4	6269654	0.234394
Chr4	6708371	0.58095
Chr4	6857091	0.111612
Chr4	7007495	0.105124
Chr4	7116567	0.248518
Chr4	7708610	0.461098
Chr4	7887494	0.185514
Chr4	7888974	0.203942
Chr4	8053070	0.116109
Chr4	8119691	0.44823
Chr4	8136121	0.187536
Chr4	8659870	0.227976
Chr4	9692009	0.275269
Chr4	9805003	0.416325
Chr4	9826332	0.529661
Chr4	9836368	0.508288
Chr4	9871198	0.372462
Chr4	9938568	0.515888
Chr4	9951013	0.102311
Chr4	10007135	0.492025
Chr4	10144836	0.130157
Chr4	10182599	0.512364
Chr4	10232864	0.526708
Chr4	10331011	0.451025
Chr4	10472709	0.40695
Chr4	11386957	0.574715
Chr4	11479664	0.159027
Chr4	11598319	0.209113
Chr4	11689023	0.159501
Chr4	11748813	0.16166
Chr4	12809235	0.281106
Chr4	13042091	0.357025
Chr4	13148787	0.134691
Chr4	13167154	0.138861
Chr4	13242658	0.504901
Chr4	13674202	0.102302
Chr4	13761246	0.230231
Chr4	14158527	0.194409
Chr4	14162717	0.452945
Chr4	14268196	0.237024
Chr4	14317520	0.143314
Chr4	14361746	0.113136
Chr4	14464610	0.221379
Chr4	14691873	0.293807
Chr4	14725540	0.348246
Chr4	14900481	0.398574
Chr4	15630434	0.113218
Chr4	15856759	0.223974
Chr4	15912989	0.247965
Chr4	16377348	0.119884
