# Population H	H_01,H_02,H_03,H_04,H_05,H_06,H_07,H_08,H_09,H_10,H_11,H_12,H_13,H_14,H_15,H_16,H_17,H_18,H_19,H_20
# Population G	G_01,G_02,G_03,G_04,G_05,G_06,G_07,G_08,G_09,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
49	H	G	Chr1	53567	-0.01399	0.00000	0.00000	-0.00396	0.00000	0.00000	-0.00396	0.00000	0.00000	0.00261	0.00000	0.00000
58	H	G	Chr1	64230	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00027	0.00000	0.00000
95	H	G	Chr1	94188	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00092	0.00000	0.00000
102	H	G	Chr1	99389	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
140	H	G	Chr1	149979	-0.01521	0.00000	0.00000	-0.00956	0.00000	0.00000	-0.00507	0.00000	0.00000	0.00470	0.00000	0.00000
166	H	G	Chr1	215221	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
170	H	G	Chr1	219357	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00027	0.00000	0.00000
175	H	G	Chr1	223665	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
180	H	G	Chr1	225616	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
209	H	G	Chr1	264035	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00087	0.00000	0.00000
248	H	G	Chr1	308422	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
258	H	G	Chr1	323744	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
350	H	G	Chr1	493168	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00087	0.00000	0.00000
362	H	G	Chr1	505933	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
370	H	G	Chr1	510200	-0.01680	0.00000	0.00000	-0.00131	0.00000	0.00000	-0.00131	0.00000	0.00000	0.00086	0.00000	0.00000
428	H	G	Chr1	579112	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
429	H	G	Chr1	579253	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
471	H	G	Chr1	618925	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
510	H	G	Chr1	659593	0.02181	0.00000	0.00000	0.00120	0.00000	0.00000	0.00463	0.00000	0.00000	0.00159	0.00000	0.00000
569	H	G	Chr1	744704	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
606	H	G	Chr1	791138	-0.01992	0.00000	0.00000	-0.00429	0.00000	0.00000	0.00744	0.00000	0.00000	0.00376	0.00000	0.00000
616	H	G	Chr1	805791	-0.02334	0.00000	0.00000	-0.00338	0.00000	0.00000	-0.00591	0.00000	0.00000	0.00301	0.00000	0.00000
651	H	G	Chr1	858217	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00031	0.00000	0.00000
680	H	G	Chr1	892079	-0.00181	0.00000	0.00000	-0.00006	0.00000	0.00000	-0.00881	0.00000	0.00000	0.00347	0.00000	0.00000
688	H	G	Chr1	898230	-0.00415	0.00000	0.00000	-0.00011	0.00000	0.00000	0.01834	0.00000	0.00000	0.00211	0.00000	0.00000
735	H	G	Chr1	972149	0.02903	0.00000	0.00000	0.00157	0.00000	0.00000	0.00567	0.00000	0.00000	0.00115	0.00000	0.00000
893	H	G	Chr1	1121580	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
954	H	G	Chr1	1193667	0.00764	0.00000	0.00000	0.00200	0.00000	0.00000	0.00766	0.00000	0.00000	0.00285	0.00000	0.00000
977	H	G	Chr1	1232220	-0.01149	0.00000	0.00000	-0.00255	0.00000	0.00000	-0.00255	0.00000	0.00000	0.00215	0.00000	0.00000
1050	H	G	Chr1	1323300	0.01908	0.00000	0.00000	0.00266	0.00000	0.00000	0.00031	0.00000	0.00000	0.00196	0.00000	0.00000
1059	H	G	Chr1	1325760	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00086	0.00000	0.00000
1096	H	G	Chr1	1358856	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1138	H	G	Chr1	1401179	-0.02626	0.00000	0.00000	-0.00284	0.00000	0.00000	-0.00127	0.00000	0.00000	0.00171	0.00000	0.00000
1194	H	G	Chr1	1454334	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
