# Population I	I_01,I_02,I_03,I_04,I_05,I_06,I_07,I_08,I_09,I_10,I_11,I_12,I_13,I_14,I_15,I_16,I_17,I_18,I_19,I_20
# Population F	F_01,F_02,F_03,F_04,F_05,F_06,F_07,F_08,F_09,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_20
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
49	I	F	Chr1	53567	-0.02525	0.00000	0.00000	-0.00981	0.00000	0.00000	-0.00900	0.00000	0.00000	0.00372	0.00000	0.00000
74	I	F	Chr1	73361	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
90	I	F	Chr1	91740	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00031	0.00000	0.00000
95	I	F	Chr1	94188	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00091	0.00000	0.00000
127	I	F	Chr1	116327	-0.02564	0.00000	0.00000	-0.00132	0.00000	0.00000	-0.00132	0.00000	0.00000	0.00056	0.00000	0.00000
140	I	F	Chr1	149979	0.10857	0.00000	0.00000	0.06003	0.00000	0.00000	0.05234	0.00000	0.00000	0.00543	0.00000	0.00000
180	I	F	Chr1	225616	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00028	0.00000	0.00000
245	I	F	Chr1	307675	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
320	I	F	Chr1	444125	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
362	I	F	Chr1	505933	-0.02793	0.00000	0.00000	-0.00955	0.00000	0.00000	0.01629	0.00000	0.00000	0.00428	0.00000	0.00000
370	I	F	Chr1	510200	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00059	0.00000	0.00000
395	I	F	Chr1	544934	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
428	I	F	Chr1	579112	-0.01680	0.00000	0.00000	-0.00131	0.00000	0.00000	-0.00131	0.00000	0.00000	0.00087	0.00000	0.00000
435	I	F	Chr1	584204	-0.02065	0.00000	0.00000	-0.02109	0.00000	0.00000	-0.01926	0.00000	0.00000	0.00638	0.00000	0.00000
461	I	F	Chr1	610914	0.04571	0.00000	0.00000	0.00762	0.00000	0.00000	0.00762	0.00000	0.00000	0.00165	0.00000	0.00000
464	I	F	Chr1	611287	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
465	I	F	Chr1	611411	-0.01453	0.00000	0.00000	-0.00120	0.00000	0.00000	0.00199	0.00000	0.00000	0.00152	0.00000	0.00000
512	I	F	Chr1	663248	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
517	I	F	Chr1	665610	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
520	I	F	Chr1	667731	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00091	0.00000	0.00000
616	I	F	Chr1	805791	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00032	0.00000	0.00000
689	I	F	Chr1	898233	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
690	I	F	Chr1	898435	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00057	0.00000	0.00000
705	I	F	Chr1	921549	0.00137	0.00000	0.00000	0.00004	0.00000	0.00000	0.00276	0.00000	0.00000	0.00088	0.00000	0.00000
744	I	F	Chr1	975332	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
827	I	F	Chr1	1036486	0.00332	0.00000	0.00000	0.00010	0.00000	0.00000	0.02721	0.00000	0.00000	0.00192	0.00000	0.00000
849	I	F	Chr1	1066280	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
863	I	F	Chr1	1091510	-0.01596	0.00000	0.00000	-0.01305	0.00000	0.00000	-0.00824	0.00000	0.00000	0.00639	0.00000	0.00000
934	I	F	Chr1	1158537	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00059	0.00000	0.00000
945	I	F	Chr1	1170386	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
977	I	F	Chr1	1232220	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1059	I	F	Chr1	1325760	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1081	I	F	Chr1	1344551	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1100	I	F	Chr1	1359651	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1105	I	F	Chr1	1365025	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1139	I	F	Chr1	1401182	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1145	I	F	Chr1	1406318	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1244	I	F	Chr1	1508457	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1262	I	F	Chr1	1523375	-0.02630	0.00000	0.00000	-0.00139	0.00000	0.00000	0.00007	0.00000	0.00000	0.00117	0.00000	0.00000
1366	I	F	Chr1	1590628	-0.02564	0.00000	0.00000	-0.00270	0.00000	0.00000	-0.00270	0.00000	0.00000	0.00109	0.00000	0.00000
1405	I	F	Chr1	1618888	-0.02671	0.00000	0.00000	-0.01101	0.00000	0.00000	-0.01447	0.00000	0.00000	0.00424	0.00000	0.00000
1462	I	F	Chr1	1669504	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1490	I	F	Chr1	1697437	-0.00415	0.00000	0.00000	-0.00011	0.00000	0.00000	0.01834	0.00000	0.00000	0.00203	0.00000	0.00000
1542	I	F	Chr1	1755668	0.02564	0.00000	0.00000	0.00135	0.00000	0.00000	0.00135	0.00000	0.00000	0.00059	0.00000	0.00000
1544	I	F	Chr1	1757635	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1570	I	F	Chr1	1781025	-0.01919	0.00000	0.00000	-0.00264	0.00000	0.00000	0.00031	0.00000	0.00000	0.00191	0.00000	0.00000
1623	I	F	Chr1	1823907	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1647	I	F	Chr1	1850622	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1664	I	F	Chr1	1873586	-0.01680	0.00000	0.00000	-0.00131	0.00000	0.00000	-0.00131	0.00000	0.00000	0.00086	0.00000	0.00000
1667	I	F	Chr1	1874750	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1711	I	F	Chr1	1894212	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1713	I	F	Chr1	1894900	-0.01563	0.00000	0.00000	-0.00542	0.00000	0.00000	-0.00542	0.00000	0.00000	0.00297	0.00000	0.00000
1725	I	F	Chr1	1901539	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
1803	I	F	Chr1	1964889	0.00285	0.00000	0.00000	0.00072	0.00000	0.00000	0.00072	0.00000	0.00000	0.00249	0.00000	0.00000
1806	I	F	Chr1	1968070	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00031	0.00000	0.00000
1818	I	F	Chr1	1982408	-0.02242	0.00000	0.00000	-0.01405	0.00000	0.00000	-0.01383	0.00000	0.00000	0.00467	0.00000	0.00000
1836	I	F	Chr1	2002783	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
1852	I	F	Chr1	2033786	0.06194	0.00000	0.00000	0.04332	0.00000	0.00000	0.03812	0.00000	0.00000	0.00527	0.00000	0.00000
1884	I	F	Chr1	2068355	-0.00130	0.00000	0.00000	-0.00003	0.00000	0.00000	0.00003	0.00000	0.00000	0.00087	0.00000	0.00000
1894	I	F	Chr1	2084942	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
