# Population L	L_01,L_02,L_03,L_04,L_05,L_06,L_07,L_08,L_09,L_10,L_11,L_12,L_13,L_14,L_15,L_16,L_17,L_18,L_19,L_20
# Population H	H_01,H_02,H_03,H_04,H_05,H_06,H_07,H_08,H_09,H_10,H_11,H_12,H_13,H_14,H_15,H_16,H_17,H_18,H_19,H_20
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
49	L	H	Chr1	53567	0.01517	0.00000	0.00000	0.00445	0.00000	0.00000	0.00122	0.00000	0.00000	0.00314	0.00000	0.00000
74	L	H	Chr1	73361	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
127	L	H	Chr1	116327	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
139	L	H	Chr1	144587	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
140	L	H	Chr1	149979	-0.02228	0.00000	0.00000	-0.01473	0.00000	0.00000	-0.01127	0.00000	0.00000	0.00481	0.00000	0.00000
154	L	H	Chr1	182037	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00029	0.00000	0.00000
184	L	H	Chr1	232847	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00030	0.00000	0.00000
362	L	H	Chr1	505933	0.04494	0.00000	0.00000	0.03478	0.00000	0.00000	0.03478	0.00000	0.00000	0.00521	0.00000	0.00000
370	L	H	Chr1	510200	-0.01680	0.00000	0.00000	-0.00131	0.00000	0.00000	-0.00131	0.00000	0.00000	0.00086	0.00000	0.00000
435	L	H	Chr1	584204	-0.02106	0.00000	0.00000	-0.02114	0.00000	0.00000	-0.02338	0.00000	0.00000	0.00685	0.00000	0.00000
